time,apparentTemperature,cloudCover,humidity,precipIntensity,precipProbability,temperature
1561946400,18.8,0.88,0.97,1.6447,0.57,18.37
1561950000,18.8,0.83,0.96,1.871,0.56,18.4
1561953600,18.79,0.81,0.94,1.1489,0.56,18.43
1561957200,18.73,0.81,0.93,0.4373,0.48,18.4
1561960800,18.23,0.77,0.91,0.1413,0.18,18.01
1561964400,17.74,0.68,0.89,0.0985,0.07,17.59
1561968000,17.31,0.53,0.88,0.0673,0.12,17.24
1561971600,17.22,0.46,0.83,0.0243,0.09,17.22
1561975200,17.33,0.38,0.8,0.0123,0.06,17.33
1561978800,17.32,0.32,0.78,0.006,0.06,17.32
1561982400,17.36,0.34,0.76,0,0,17.36
1561986000,17.38,0.52,0.75,0,0,17.38
1561989600,17.33,0.8,0.74,0,0,17.33
1561993200,17.15,1,0.74,0,0,17.15
1561996800,16.87,1,0.74,0.009,0.08,16.87
1562000400,16.56,1,0.75,0.0473,0.12,16.56
1562004000,15.19,1,0.79,0.4388,0.29,15.19
1562007600,15.32,1,0.8,0.4584,0.36,15.32
1562011200,15.65,1,0.8,0.3776,0.42,15.65
1562014800,16.02,1,0.78,0.3203,0.44,16.02
1562018400,16.43,0.99,0.76,0.3282,0.42,16.43
1562022000,16.64,0.98,0.75,0.3575,0.39,16.64
1562025600,16.26,0.91,0.76,0.3219,0.36,16.26
1562029200,16.08,0.66,0.74,0.026,0.08,16.08
1561946400,18.8,0.88,0.97,1.6447,0.57,18.37
1561950000,18.8,0.83,0.96,1.871,0.56,18.4
1561953600,18.79,0.81,0.94,1.1489,0.56,18.43
1561957200,18.73,0.81,0.93,0.4373,0.48,18.4
1561960800,18.23,0.77,0.91,0.1413,0.18,18.01
1561964400,17.74,0.68,0.89,0.0985,0.07,17.59
1561968000,17.31,0.53,0.88,0.0673,0.12,17.24
1561971600,17.22,0.46,0.83,0.0243,0.09,17.22
1561975200,17.33,0.38,0.8,0.0123,0.06,17.33
1561978800,17.32,0.32,0.78,0.006,0.06,17.32
1561982400,17.36,0.34,0.76,0,0,17.36
1561986000,17.38,0.52,0.75,0,0,17.38
1561989600,17.33,0.8,0.74,0,0,17.33
1561993200,17.15,1,0.74,0,0,17.15
1561996800,16.87,1,0.74,0.009,0.08,16.87
1562000400,16.56,1,0.75,0.0473,0.12,16.56
1562004000,15.19,1,0.79,0.4388,0.29,15.19
1562007600,15.32,1,0.8,0.4584,0.36,15.32
1562011200,15.65,1,0.8,0.3776,0.42,15.65
1562014800,16.02,1,0.78,0.3203,0.44,16.02
1562018400,16.43,0.99,0.76,0.3282,0.42,16.43
1562022000,16.64,0.98,0.75,0.3575,0.39,16.64
1562025600,16.26,0.91,0.76,0.3219,0.36,16.26
1562029200,16.08,0.66,0.74,0.026,0.08,16.08
1561946400,18.8,0.88,0.97,1.6447,0.57,18.37
1561950000,18.8,0.83,0.96,1.871,0.56,18.4
1561953600,18.79,0.81,0.94,1.1489,0.56,18.43
1561957200,18.73,0.81,0.93,0.4373,0.48,18.4
1561960800,18.23,0.77,0.91,0.1413,0.18,18.01
1561964400,17.74,0.68,0.89,0.0985,0.07,17.59
1561968000,17.31,0.53,0.88,0.0673,0.12,17.24
1561971600,17.22,0.46,0.83,0.0243,0.09,17.22
1561975200,17.33,0.38,0.8,0.0123,0.06,17.33
1561978800,17.32,0.32,0.78,0.006,0.06,17.32
1561982400,17.36,0.34,0.76,0,0,17.36
1561986000,17.38,0.52,0.75,0,0,17.38
1561989600,17.33,0.8,0.74,0,0,17.33
1561993200,17.15,1,0.74,0,0,17.15
1561996800,16.87,1,0.74,0.009,0.08,16.87
1562000400,16.56,1,0.75,0.0473,0.12,16.56
1562004000,15.19,1,0.79,0.4388,0.29,15.19
1562007600,15.32,1,0.8,0.4584,0.36,15.32
1562011200,15.65,1,0.8,0.3776,0.42,15.65
1562014800,16.02,1,0.78,0.3203,0.44,16.02
1562018400,16.43,0.99,0.76,0.3282,0.42,16.43
1562022000,16.64,0.98,0.75,0.3575,0.39,16.64
1562025600,16.26,0.91,0.76,0.3219,0.36,16.26
1562029200,16.08,0.66,0.74,0.026,0.08,16.08
1561946400,18.8,0.88,0.97,1.6447,0.57,18.37
1561950000,18.8,0.83,0.96,1.871,0.56,18.4
1561953600,18.79,0.81,0.94,1.1489,0.56,18.43
1561957200,18.73,0.81,0.93,0.4373,0.48,18.4
1561960800,18.23,0.77,0.91,0.1413,0.18,18.01
1561964400,17.74,0.68,0.89,0.0985,0.07,17.59
1561968000,17.31,0.53,0.88,0.0673,0.12,17.24
1561971600,17.22,0.46,0.83,0.0243,0.09,17.22
1561975200,17.33,0.38,0.8,0.0123,0.06,17.33
1561978800,17.32,0.32,0.78,0.006,0.06,17.32
1561982400,17.36,0.34,0.76,0,0,17.36
1561986000,17.38,0.52,0.75,0,0,17.38
1561989600,17.33,0.8,0.74,0,0,17.33
1561993200,17.15,1,0.74,0,0,17.15
1561996800,16.87,1,0.74,0.009,0.08,16.87
1562000400,16.56,1,0.75,0.0473,0.12,16.56
1562004000,15.19,1,0.79,0.4388,0.29,15.19
1562007600,15.32,1,0.8,0.4584,0.36,15.32
1562011200,15.65,1,0.8,0.3776,0.42,15.65
1562014800,16.02,1,0.78,0.3203,0.44,16.02
1562018400,16.43,0.99,0.76,0.3282,0.42,16.43
1562022000,16.64,0.98,0.75,0.3575,0.39,16.64
1562025600,16.26,0.91,0.76,0.3219,0.36,16.26
1562029200,16.08,0.66,0.74,0.026,0.08,16.08
1561946400,18.8,0.88,0.97,1.6447,0.57,18.37
1561950000,18.8,0.83,0.96,1.871,0.56,18.4
1561953600,18.79,0.81,0.94,1.1489,0.56,18.43
1561957200,18.73,0.81,0.93,0.4373,0.48,18.4
1561960800,18.23,0.77,0.91,0.1413,0.18,18.01
1561964400,17.74,0.68,0.89,0.0985,0.07,17.59
