time,cloudCover,humidity,precipIntensity,windSpeed
2018-09-30 21:00:00,0.83,0.75,0.0134,6.51
2018-10-01 21:00:00,0.86,0.77,0.0097,6.89
2018-10-02 21:00:00,0.87,0.77,0.0148,6.59
2018-10-03 21:00:00,0.8,0.78,0.0144,6.16
2018-10-04 21:00:00,0.8,0.78,0.0096,5.83
2018-10-05 21:00:00,0.95,0.79,0.0142,6.48
2018-10-06 21:00:00,0.98,0.78,0.0126,6.53
2018-10-07 21:00:00,0.96,0.79,0.0177,7.14
2018-10-08 21:00:00,0.89,0.77,0.0166,7.2
2018-10-09 21:00:00,0.96,0.75,0.0177,9.34
2018-10-10 21:00:00,0.97,0.76,0.0212,9.59
2018-10-11 21:00:00,0.98,0.76,0.0198,9.42
2018-10-12 21:00:00,0.89,0.75,0.0238,8.27
2018-10-13 21:00:00,0.98,0.74,0.0214,7.77
2018-10-14 21:00:00,0.58,0.75,0.0123,6.01
2018-10-15 21:00:00,0.54,0.75,0.0082,6.89
2018-10-16 21:00:00,0.74,0.77,0.0128,7.36
2018-10-17 21:00:00,0.77,0.77,0.0066,8.28
2018-10-18 21:00:00,0.7,0.77,0.0092,8.67
2018-10-19 21:00:00,0.94,0.77,0.0118,7.52
2018-10-20 21:00:00,0.97,0.78,0.0092,7.49
2018-10-21 21:00:00,0.66,0.78,0.0035,6.78
2018-10-22 21:00:00,0.67,0.79,0.0092,7.51
2018-10-23 21:00:00,0.85,0.78,0.0091,6.98
2018-10-24 21:00:00,0.79,0.76,0.0108,6.05
2018-10-25 21:00:00,0.96,0.77,0.0025,6.88
2018-10-26 21:00:00,0.69,0.78,0.0164,6.69
2018-10-27 21:00:00,0.86,0.77,0.018,7.05
2018-10-28 21:00:00,0.98,0.78,0.0238,8.03
2018-10-29 21:00:00,0.8,0.78,0.015,9.1
2018-10-30 21:00:00,0.99,0.76,0.0154,7.66
2018-10-31 21:00:00,0.65,0.75,0.0094,6.62
2018-11-01 21:00:00,0.58,0.73,0.0163,5.85
2018-11-02 21:00:00,0.68,0.73,0.015,6.61
2018-11-03 21:00:00,0.86,0.75,0.0222,8.2
2018-11-04 21:00:00,0.82,0.75,0.0142,8.04
2018-11-05 21:00:00,0.88,0.76,0.0184,8.37
2018-11-06 21:00:00,0.95,0.77,0.0189,8.72
2018-11-07 21:00:00,0.75,0.78,0.0175,7.98
2018-11-08 21:00:00,0.91,0.78,0.0156,7.14
2018-11-09 21:00:00,0.84,0.77,0.0114,6.71
2018-11-10 21:00:00,0.9,0.78,0.0114,7.86
2018-11-11 21:00:00,0.83,0.78,0.0064,7.37
2018-11-12 21:00:00,0.94,0.78,0.0065,7.1
2018-11-13 21:00:00,0.84,0.78,0.0029,6.54
2018-11-14 21:00:00,0.19,0.78,0.0006,6.33
2018-11-15 21:00:00,0.79,0.77,0.0024,7.8
2018-11-16 21:00:00,1,0.77,0.0012,8.85
2018-11-17 21:00:00,1,0.78,0.0029,10.66
2018-11-18 21:00:00,0.99,0.78,0.0199,10.08
2018-11-19 21:00:00,0.96,0.77,0.0181,8.72
2018-11-20 21:00:00,0.98,0.78,0.013,8.88
2018-11-21 21:00:00,0.73,0.78,0.0178,8.36
2018-11-22 21:00:00,0.97,0.77,0.0263,7.9
2018-11-23 21:00:00,0.91,0.77,0.0209,7.73
2018-11-24 21:00:00,0.83,0.74,0.0085,7.99
2018-11-25 21:00:00,0.67,0.73,0.0149,7.23
2018-11-26 21:00:00,0.51,0.72,0.0069,7.35
2018-11-27 21:00:00,0.9,0.74,0.0158,7.03
2018-11-28 21:00:00,0.7,0.76,0.0098,7.54
2018-11-29 21:00:00,0.95,0.76,0.0121,8.43
2018-11-30 21:00:00,0.77,0.77,0.0134,7.93
2018-12-01 21:00:00,0.87,0.76,0.0171,7.91
2018-12-02 21:00:00,0.96,0.78,0.0168,7.49
2018-12-03 21:00:00,0.9,0.78,0.018,6.61
2018-12-04 21:00:00,0.69,0.78,0.0096,6.74
2018-12-05 21:00:00,0.88,0.79,0.0154,6.9
2018-12-06 21:00:00,0.85,0.79,0.0126,6.98
2018-12-07 21:00:00,0.87,0.78,0.0109,8.03
2018-12-08 21:00:00,0.78,0.76,0.0173,8.45
2018-12-09 21:00:00,0.87,0.74,0.0269,8.51
2018-12-10 21:00:00,0.65,0.72,0.0223,7.73
2018-12-11 21:00:00,0.63,0.73,0.0216,7.76
2018-12-12 21:00:00,0.61,0.73,0.0277,7.2
2018-12-13 21:00:00,0.35,0.75,0.0027,8.16
2018-12-14 21:00:00,0.66,0.75,0.0099,7.42
2018-12-15 21:00:00,0.73,0.75,0.0082,7.3
2018-12-16 21:00:00,0.92,0.76,0.0129,6.9
2018-12-17 21:00:00,0.8,0.77,0.0165,6.17
2018-12-18 21:00:00,0.8,0.76,0.0144,6.89
2018-12-19 21:00:00,0.74,0.76,0.0103,7.22
2018-12-20 21:00:00,0.68,0.76,0.0101,7.01
2018-12-21 21:00:00,0.58,0.75,0.0072,7.07
2018-12-22 21:00:00,0.69,0.75,0.0104,6.89
2018-12-23 21:00:00,0.78,0.75,0.0134,6.5
2018-12-24 21:00:00,0.44,0.75,0.0069,6.71
2018-12-25 21:00:00,0.75,0.75,0.0202,6.87
2018-12-26 21:00:00,0.93,0.77,0.0285,7.27
2018-12-27 21:00:00,0.92,0.78,0.0153,7.99
2018-12-28 21:00:00,0.82,0.76,0.0222,8.15
2018-12-29 21:00:00,0.66,0.74,0.0191,8.03
2018-12-30 21:00:00,0.48,0.73,0.0103,6.24
2018-12-31 21:00:00,0.32,0.74,0.0085,6.1
2019-01-01 22:00:00,0.55,0.75,0.0135,6.06
2019-01-02 22:00:00,0.75,0.76,0.0067,7.56
2019-01-03 22:00:00,0.84,0.74,0.0241,7.46
2019-01-04 22:00:00,0.57,0.72,0.0097,5.9
2019-01-05 22:00:00,0.34,0.75,0.0027,6.48
2019-01-06 22:00:00,0.66,0.76,0.0098,7.75
2019-01-07 22:00:00,0.92,0.81,0.074,8.03
2019-01-08 22:00:00,0.36,0.8,0.0768,7.85
2019-01-09 22:00:00,0.5,0.76,0.0163,6.48
2019-01-10 22:00:00,0.82,0.76,0.0377,6.33
2019-01-11 22:00:00,0.88,0.75,0.0307,5.9
2019-01-12 22:00:00,0.65,0.75,0.0099,5.56
2019-01-13 22:00:00,0.34,0.76,0.0091,6.3
2019-01-14 22:00:00,0.76,0.75,0.0154,7.03
2019-01-15 22:00:00,0.78,0.77,0.0439,5.83
2019-01-16 22:00:00,0.19,0.76,0.0212,5.38
2019-01-17 22:00:00,0.23,0.74,0.005,5.34
2019-01-18 22:00:00,0.37,0.73,0.0075,4.66
2019-01-19 22:00:00,0.37,0.74,0.012,6.12
2019-01-20 22:00:00,0.3,0.76,0.031,7.17
2019-01-21 22:00:00,0.79,0.76,0.0593,6.66
2019-01-22 22:00:00,0.43,0.75,0.0149,5.98
2019-01-23 22:00:00,0.39,0.75,0.0065,5.89
2019-01-24 22:00:00,0.61,0.79,0.0629,7.42
2019-01-25 22:00:00,0.46,0.75,0.0133,7.49
2019-01-26 22:00:00,0.04,0.74,0.0027,6.68
2019-01-27 22:00:00,0.65,0.74,0.0163,5.8
