time,cloudCover,humidity,precipIntensity,windSpeed
2018-09-30 23:00:00,0.88,0.75,0.0018,11.64
2018-10-01 23:00:00,1,0.83,0.827,12.12
2018-10-02 23:00:00,0.93,0.83,0.4114,3.8
2018-10-03 23:00:00,0.31,0.68,0.0046,6.44
2018-10-04 23:00:00,0.29,0.66,0.0955,14.42
2018-10-05 23:00:00,0.54,0.62,0.0432,13.21
2018-10-06 23:00:00,0.09,0.67,0.0168,9.89
2018-10-07 23:00:00,0.06,0.68,0.0057,7.04
2018-10-08 23:00:00,0,0.72,0.0008,7.2
2018-10-09 23:00:00,0.51,0.82,0.7923,12.63
2018-10-10 23:00:00,0.23,0.68,0.0027,11.77
2018-10-11 23:00:00,0.62,0.62,0.0026,6.73
2018-10-12 23:00:00,1,0.75,1.0817,5.82
2018-10-13 23:00:00,0.49,0.73,0.0358,6.73
2018-10-14 23:00:00,0.24,0.73,0.0208,10.42
2018-10-15 23:00:00,0.22,0.71,0.0047,4.02
2018-10-16 23:00:00,0.23,0.78,0.0021,4.08
2018-10-17 23:00:00,0.52,0.82,0.1706,5.87
2018-10-18 23:00:00,0.85,0.76,0.3721,10.36
2018-10-19 23:00:00,0.39,0.65,0.0592,9.01
2018-10-20 23:00:00,0.31,0.64,0.0482,9.76
2018-10-21 23:00:00,0.74,0.61,0.016,4.75
2018-10-22 23:00:00,0.63,0.7,0.3795,12.57
2018-10-23 23:00:00,0.36,0.64,0.017,8.44
2018-10-24 23:00:00,0.71,0.66,0.0277,5.89
2018-10-25 23:00:00,0.33,0.67,0.0244,6.16
2018-10-26 23:00:00,0.76,0.68,0.2076,6.22
2018-10-27 23:00:00,1,0.79,2.8274,19.64
2018-10-28 23:00:00,0.73,0.72,0.2056,16.7
2018-10-29 23:00:00,0.43,0.68,0.0363,8.51
2018-10-30 23:00:00,0.47,0.64,0.0066,4.63
2018-10-31 23:00:00,0.76,0.76,1.4423,9.43
2018-11-01 23:00:00,0.5,0.73,0.6057,11.12
2018-11-02 23:00:00,0.67,0.69,0.0258,12.31
2018-11-03 23:00:00,0.29,0.68,0.0089,10.04
2018-11-04 23:00:00,0.11,0.7,0.0169,9.11
2018-11-05 23:00:00,0.77,0.69,0.0075,5.24
2018-11-06 23:00:00,0.9,0.7,0.0205,7.91
2018-11-07 23:00:00,0.02,0.61,0.003,6.48
2018-11-08 23:00:00,0,0.59,0.0013,4.92
2018-11-09 23:00:00,0.42,0.72,0.0016,7.73
2018-11-10 23:00:00,0.99,0.77,0.0569,8.9
2018-11-11 23:00:00,0.57,0.72,0.0267,7.25
2018-11-12 23:00:00,0.58,0.66,0.0023,4.71
2018-11-13 23:00:00,0.95,0.74,0.0022,7.75
2018-11-14 23:00:00,0.76,0.83,0.8537,11.92
2018-11-15 23:00:00,0.02,0.78,0.0009,9.28
2018-11-16 23:00:00,0.21,0.64,0.005,6.8
2018-11-17 23:00:00,0.9,0.75,0.0769,11.95
2018-11-18 23:00:00,0.48,0.75,0.8363,11.72
2018-11-19 23:00:00,0.02,0.68,0.001,4.35
2018-11-20 23:00:00,0.5,0.7,0.0003,4.1
2018-11-21 23:00:00,0.89,0.77,0.0016,4.84
2018-11-22 23:00:00,0.73,0.77,0.0026,4.45
2018-11-23 23:00:00,0.94,0.76,0.0051,5.55
2018-11-24 23:00:00,1,0.82,0.0056,10.87
2018-11-25 23:00:00,1,0.83,1.4996,7.87
2018-11-26 23:00:00,0.42,0.75,0.0032,7.48
2018-11-27 23:00:00,0.83,0.71,0.0031,8.99
2018-11-28 23:00:00,1,0.71,0.0032,8.51
2018-11-29 23:00:00,0.76,0.77,0.3181,9.96
2018-11-30 23:00:00,0.72,0.74,0.0333,11.3
2018-12-01 23:00:00,0.25,0.74,0.0052,8.12
2018-12-02 23:00:00,0.14,0.76,0.0054,4.68
2018-12-03 23:00:00,0.35,0.79,0.0226,3.23
2018-12-04 23:00:00,0.4,0.73,0.0618,6.08
2018-12-05 23:00:00,0.12,0.78,0.2379,10.77
2018-12-06 23:00:00,0.38,0.69,0.0615,16.55
2018-12-07 23:00:00,0.67,0.71,0.216,14.26
2018-12-08 23:00:00,0.01,0.66,0.0017,6.45
2018-12-09 23:00:00,0.13,0.75,0.0015,5.32
2018-12-10 23:00:00,0.48,0.79,0.0041,8.48
2018-12-11 23:00:00,0.54,0.83,0.0017,7.67
2018-12-12 23:00:00,0.61,0.79,0.1911,10.91
2018-12-13 23:00:00,0.71,0.7,0.0113,5.84
2018-12-14 23:00:00,0.94,0.77,0.1109,9.74
2018-12-15 23:00:00,0.85,0.79,0.0391,7.64
2018-12-16 23:00:00,0.03,0.74,0.001,5.24
2018-12-17 23:00:00,0.78,0.85,0.1933,10.77
2018-12-18 23:00:00,0.7,0.7,0.0046,5.97
2018-12-19 23:00:00,0.39,0.66,0.0005,1.8
2018-12-20 23:00:00,0.97,0.67,0.012,2.23
2018-12-21 23:00:00,0.97,0.83,1.2892,7.76
2018-12-22 23:00:00,0.63,0.85,0.0339,4.76
2018-12-23 23:00:00,0.47,0.83,0.1098,8.5
2018-12-24 23:00:00,0.25,0.77,0.0014,7.8
2018-12-25 23:00:00,0.09,0.76,0.0012,6.06
2018-12-26 23:00:00,0.01,0.76,0.0012,5.22
2018-12-27 23:00:00,0.37,0.84,0.0255,5.53
2018-12-28 23:00:00,0.06,0.83,0.0681,4.28
2018-12-29 23:00:00,0.17,0.77,0.0019,3.58
2018-12-30 23:00:00,0.17,0.75,0.0029,3.21
2018-12-31 23:00:00,0.28,0.77,0.0204,6.05
2019-01-02 00:00:00,0.22,0.69,0.0014,4.65
2019-01-03 00:00:00,0.74,0.82,0.0119,10.5
2019-01-04 00:00:00,0.88,0.8,1.8279,9.17
2019-01-05 00:00:00,0.07,0.63,0.0006,3.05
2019-01-06 00:00:00,0,0.67,0.0018,1.42
2019-01-07 00:00:00,0.35,0.71,0.0011,5.19
2019-01-08 00:00:00,0.78,0.85,0.0208,9.67
2019-01-09 00:00:00,0.58,0.76,0.0003,7.01
2019-01-10 00:00:00,0.03,0.8,0.0013,5.85
2019-01-11 00:00:00,0,0.86,0.0008,5.76
2019-01-12 00:00:00,0.67,0.81,0.1295,7.9
2019-01-13 00:00:00,0.68,0.71,0.0016,6.78
2019-01-14 00:00:00,0.46,0.71,0.0019,4.42
2019-01-15 00:00:00,0.59,0.83,0.3036,5.54
2019-01-16 00:00:00,0.88,0.84,0.0021,6.94
2019-01-17 00:00:00,0.57,0.85,0.1189,10.61
2019-01-18 00:00:00,0.84,0.71,0.0079,6.83
2019-01-19 00:00:00,0.99,0.66,0.1602,4.36
2019-01-20 00:00:00,1,0.79,0.9144,10.61
2019-01-21 00:00:00,1,0.83,0.8024,9.01
2019-01-22 00:00:00,0.28,0.78,0.0289,5.73
2019-01-23 00:00:00,0.13,0.75,0.001,3.17
2019-01-24 00:00:00,0.19,0.76,0.027,5.43
2019-01-25 00:00:00,0.21,0.71,0.0044,9.27
2019-01-26 00:00:00,0.38,0.76,0.0075,6.98
2019-01-27 00:00:00,0.5,0.84,0.0438,3.14
2019-01-28 00:00:00,0.37,0.83,0.0022,2.07
2019-01-29 00:00:00,0.69,0.86,0.1094,5.33
2019-01-30 00:00:00,0.52,0.86,0.0449,6.75
2019-01-31 00:00:00,0.45,0.86,0.5408,7.12
2019-02-01 00:00:00,0.11,0.8,0.0644,4.37
2019-02-02 00:00:00,0.62,0.8,0.1289,7.04
2019-02-03 00:00:00,0.67,0.69,0.0437,7
2019-02-04 00:00:00,0.39,0.63,0.0352,8.14
2019-02-05 00:00:00,0.61,0.69,0.0464,8.49
2019-02-06 00:00:00,0.4,0.68,0.008,3.6
2019-02-07 00:00:00,0.93,0.72,0.0195,5.3
2019-02-08 00:00:00,1,0.82,0.5323,8.95
2019-02-09 00:00:00,0.29,0.79,0.0008,6.66
2019-02-10 00:00:00,0.53,0.79,0.0013,4.61
2019-02-11 00:00:00,0.46,0.82,0.0017,6.18
2019-02-12 00:00:00,0.72,0.81,1.4165,14.05
2019-02-13 00:00:00,0.21,0.66,0.028,9.35
2019-02-14 00:00:00,0.38,0.64,0.0062,5.3
2019-02-15 00:00:00,0.42,0.67,0.0319,5.02
2019-02-16 00:00:00,0.15,0.71,0.0097,7.26
2019-02-16 23:00:00,0,0.73,0.001,4.13
2019-02-17 23:00:00,0.03,0.78,0.001,3.98
2019-02-18 23:00:00,0.93,0.78,0.0036,5.22
2019-02-19 23:00:00,0.69,0.84,0.7103,8.75
2019-02-20 23:00:00,0.12,0.77,0.0257,5.23
2019-02-21 23:00:00,0,0.79,0.0016,4.51
2019-02-22 23:00:00,0.17,0.8,0.0061,6.4
2019-02-23 23:00:00,0.36,0.86,0.0478,7.29
2019-02-24 23:00:00,0.24,0.82,0.3545,6.06
2019-02-25 23:00:00,0.54,0.7,0.0029,4.25
2019-02-26 23:00:00,0.82,0.7,0.0124,6.15
2019-02-27 23:00:00,1,0.69,0.004,5.8
2019-02-28 23:00:00,0.8,0.71,0.0007,5.71
2019-03-01 23:00:00,0.8,0.71,0.0009,4.52
2019-03-02 23:00:00,0.31,0.8,0.1574,8.71
2019-03-03 23:00:00,0.38,0.72,0.009,7.4
2019-03-04 23:00:00,0.5,0.7,0.0057,6.15
2019-03-05 23:00:00,0.73,0.71,0.0015,5.34
2019-03-06 23:00:00,1,0.77,0.0025,5.93
2019-03-07 23:00:00,0.79,0.83,0.1073,8.83
2019-03-08 23:00:00,0.99,0.84,0.8872,9.94
2019-03-09 23:00:00,0.99,0.71,0.0875,9.04
2019-03-10 23:00:00,0.47,0.68,0.0091,7.14
2019-03-11 23:00:00,0.62,0.64,0.001,2.36
2019-03-12 23:00:00,0.47,0.71,0.0085,4.29
2019-03-13 23:00:00,0.79,0.82,1.3378,8.5
2019-03-14 23:00:00,0.83,0.73,0.0607,13.13
2019-03-15 23:00:00,0.54,0.69,0.0228,11.07
2019-03-16 23:00:00,0.03,0.69,0.0086,9.69
2019-03-17 23:00:00,0.45,0.69,0.0035,9.22
2019-03-18 23:00:00,1,0.74,0.4577,11.24
2019-03-19 23:00:00,0.97,0.82,0.4274,12.08
2019-03-20 23:00:00,0.87,0.76,0.6777,10.97
2019-03-21 23:00:00,0.25,0.67,0.0096,7.41
2019-03-22 23:00:00,0.97,0.69,0.0775,5.53
2019-03-23 23:00:00,0.37,0.7,0.047,7.59
2019-03-24 23:00:00,0.34,0.78,0.1486,10.39
2019-03-25 23:00:00,0.1,0.75,0.0509,9.31
2019-03-26 23:00:00,0.35,0.7,0.0493,9.65
2019-03-27 23:00:00,0.54,0.67,0.0307,6.31
2019-03-28 23:00:00,0.52,0.63,0.0059,5.12
2019-03-29 23:00:00,0.73,0.67,0.0101,4.97
2019-03-30 23:00:00,0.72,0.71,0.102,4.88
2019-03-31 23:00:00,0.09,0.69,0.0008,4.08
2019-04-01 23:00:00,0.11,0.69,0.0009,2.82
2019-04-02 23:00:00,0.59,0.76,0.047,8.11
2019-04-03 23:00:00,0.32,0.82,0.0404,6.85
2019-04-04 23:00:00,0.76,0.82,0.0058,7.88
2019-04-05 23:00:00,0.9,0.78,0.6187,11.7
2019-04-06 23:00:00,0.77,0.69,0.0011,5.38
2019-04-07 23:00:00,1,0.67,0.001,3.56
2019-04-08 23:00:00,0.75,0.71,0.0143,7.76
2019-04-09 23:00:00,0.43,0.67,0.0057,8.08
2019-04-10 23:00:00,0.53,0.7,0.0054,8.36
2019-04-11 23:00:00,0.83,0.81,0.4381,8
2019-04-12 23:00:00,0.09,0.74,0.004,5.35
2019-04-13 23:00:00,0.27,0.68,0.0044,4.51
2019-04-14 23:00:00,0.29,0.69,0.0484,5.17
2019-04-15 23:00:00,0.64,0.7,0.0299,8.31
2019-04-16 23:00:00,0.99,0.65,0.0019,6.88
2019-04-17 23:00:00,0.58,0.71,0.0061,6.24
2019-04-18 23:00:00,0.5,0.78,0.0007,4.8
2019-04-19 23:00:00,0.51,0.8,0.5072,8.53
2019-04-20 23:00:00,0.27,0.7,0.0112,8.54
2019-04-21 23:00:00,0.05,0.7,0.042,9.66
2019-04-22 23:00:00,0.27,0.68,0.0123,7.95
2019-04-23 23:00:00,0.6,0.56,0.0054,3.26
2019-04-24 23:00:00,0.42,0.69,0.1091,9.95
2019-04-25 23:00:00,0.51,0.68,0.0426,8.54
2019-04-26 23:00:00,0.67,0.6,0.013,3.53
2019-04-27 23:00:00,1,0.73,0.8758,10.67
2019-04-28 23:00:00,0.41,0.81,0.0489,10.03
2019-04-29 23:00:00,0.1,0.75,0.0688,8.15
2019-04-30 23:00:00,0.67,0.67,0.0109,6.11
2019-05-01 23:00:00,0.58,0.7,0.0473,6.02
2019-05-02 23:00:00,0.84,0.81,0.2059,9.66
2019-05-03 23:00:00,0.84,0.82,0.2551,9.03
2019-05-04 23:00:00,0.54,0.65,0.0042,4.98
2019-05-05 23:00:00,0.76,0.73,0.5814,9.7
2019-05-06 23:00:00,0.4,0.7,0.0761,13.34
2019-05-07 23:00:00,0.36,0.69,0.0588,11.93
2019-05-08 23:00:00,0.76,0.66,0.0155,6.04
2019-05-09 23:00:00,0.47,0.66,0.0291,4.7
2019-05-10 23:00:00,0.97,0.7,0.1076,9.93
2019-05-11 23:00:00,0.97,0.8,1.0708,10.45
2019-05-12 23:00:00,0.77,0.76,0.018,6.4
2019-05-13 23:00:00,0.88,0.73,0.0153,7.82
2019-05-14 23:00:00,0.9,0.66,0.0115,8.25
2019-05-15 23:00:00,0.53,0.63,0.0379,4.64
2019-05-16 23:00:00,0.2,0.68,0.0125,4.78
2019-05-17 23:00:00,0,0.61,0.0018,1.67
2019-05-18 23:00:00,0.6,0.67,0.001,4.84
2019-05-19 23:00:00,1,0.76,0.0117,7.1
2019-05-20 23:00:00,0.55,0.79,0.0023,3.14
2019-05-21 23:00:00,0.9,0.8,0.353,4.04
2019-05-22 23:00:00,0.6,0.71,0.0326,8.46
2019-05-23 23:00:00,0.85,0.7,0.0153,9.48
2019-05-24 23:00:00,0.89,0.76,0.0288,7.35
2019-05-25 23:00:00,0.5,0.76,0.0202,4.95
2019-05-26 23:00:00,0.64,0.74,0.0127,6.91
2019-05-27 23:00:00,0.98,0.78,0.4056,7.78
2019-05-28 23:00:00,0.6,0.74,0.2806,10.53
2019-05-29 23:00:00,0.59,0.65,0.0352,11.25
2019-05-30 23:00:00,0.57,0.55,0.0089,5.21
2019-05-31 23:00:00,0.28,0.61,0.0143,5.6
2019-06-01 23:00:00,0.03,0.66,0.0338,6.83
2019-06-02 23:00:00,0.53,0.67,0.0232,5.92
2019-06-03 23:00:00,0.99,0.69,0.1211,4.51
2019-06-04 23:00:00,0.49,0.68,0.0248,10.29
2019-06-05 23:00:00,0.55,0.59,0.0028,4.88
2019-06-06 23:00:00,0.49,0.65,0.0118,9.18
2019-06-07 23:00:00,0.61,0.75,0.1109,9.6
2019-06-08 23:00:00,0.18,0.7,0.0047,11.49
2019-06-09 23:00:00,0,0.67,0.0009,6.14
2019-06-10 23:00:00,0.74,0.75,0.0031,10.44
2019-06-11 23:00:00,0.55,0.81,0.0632,5.73
2019-06-12 23:00:00,0.42,0.82,0.0366,8.53
2019-06-13 23:00:00,0.95,0.83,2.7251,6.33
2019-06-14 23:00:00,0.95,0.81,0.267,6.8
2019-06-15 23:00:00,0.99,0.75,0.1144,10.36
2019-06-16 23:00:00,0.83,0.68,0.012,10.57
2019-06-17 23:00:00,0.87,0.71,0.014,7.77
