time,cloudCover,humidity,precipIntensity,windSpeed
2018-10-01 00:00:00,0.82,0.76,0,11.74
2018-10-01 01:00:00,0.75,0.78,0,12.08
2018-10-01 02:00:00,0.65,0.8,0,12.39
2018-10-01 03:00:00,0.58,0.82,0,12.41
2018-10-01 04:00:00,0.66,0.83,0,12.44
2018-10-01 05:00:00,0.79,0.83,0,12.38
2018-10-01 06:00:00,0.9,0.81,0,12.22
2018-10-01 07:00:00,0.93,0.78,0,11.92
2018-10-01 08:00:00,0.94,0.76,0,11.55
2018-10-01 09:00:00,0.95,0.73,0.0057,10.78
2018-10-01 10:00:00,0.97,0.72,0,10.75
2018-10-01 11:00:00,0.98,0.71,0,10.76
2018-10-01 12:00:00,0.98,0.71,0,10.88
2018-10-01 13:00:00,0.92,0.71,0,10.81
2018-10-01 14:00:00,0.85,0.7,0,10.72
2018-10-01 15:00:00,0.8,0.7,0,10.96
2018-10-01 16:00:00,0.85,0.7,0,11.18
2018-10-01 17:00:00,0.93,0.7,0,11.46
2018-10-01 18:00:00,0.99,0.71,0,11.35
2018-10-01 19:00:00,1,0.72,0,11.72
2018-10-01 20:00:00,1,0.73,0,12.17
2018-10-01 21:00:00,0.99,0.73,0,12.43
2018-10-01 22:00:00,0.99,0.75,0,12.88
2018-10-01 23:00:00,1,0.77,0,13.38
2018-10-02 00:00:00,1,0.8,0,13.78
2018-10-02 01:00:00,1,0.82,0.0471,13.98
2018-10-02 02:00:00,1,0.84,0.2131,14.08
2018-10-02 03:00:00,1,0.86,0.3968,14.03
2018-10-02 04:00:00,1,0.87,0.4343,14.14
2018-10-02 05:00:00,1,0.88,0.4406,14.28
2018-10-02 06:00:00,1,0.89,0.5432,14.55
2018-10-02 07:00:00,1,0.88,0.9295,15.14
2018-10-02 08:00:00,1,0.86,1.7908,15.85
2018-10-02 09:00:00,1,0.84,2.5199,16.11
2018-10-02 10:00:00,1,0.83,2.6599,16.08
2018-10-02 11:00:00,1,0.83,2.5619,15.77
2018-10-02 12:00:00,1,0.83,2.3351,15.17
2018-10-02 13:00:00,1,0.82,1.6417,14.18
2018-10-02 14:00:00,1,0.82,0.8668,12.89
2018-10-02 15:00:00,1,0.79,0.4678,11.19
2018-10-02 16:00:00,1,0.78,0.3761,10.66
2018-10-02 17:00:00,1,0.78,0.4215,9.03
2018-10-02 18:00:00,1,0.79,0.4478,7.6
2018-10-02 19:00:00,1,0.8,0.3411,6.14
2018-10-02 20:00:00,1,0.82,0.2108,5.2
2018-10-02 21:00:00,1,0.84,0.1252,4.14
2018-10-02 22:00:00,0.89,0.85,0.0752,3.51
2018-10-02 23:00:00,0.73,0.87,0.0432,3.06
2018-10-03 00:00:00,0.63,0.88,0.0272,2.81
2018-10-03 01:00:00,0.64,0.9,0.0205,2.79
2018-10-03 02:00:00,0.71,0.9,0.021,2.98
2018-10-03 03:00:00,0.79,0.9,0.0297,3.44
2018-10-03 04:00:00,0.86,0.91,0.0565,4.12
2018-10-03 05:00:00,0.94,0.91,0.1467,4.97
2018-10-03 06:00:00,1,0.9,0.2905,5.5
2018-10-03 07:00:00,1,0.88,0.802,5.44
2018-10-03 08:00:00,1,0.86,2.2426,5.07
2018-10-03 09:00:00,1,0.83,3.2812,4.75
2018-10-03 10:00:00,1,0.81,2.0499,4.71
2018-10-03 11:00:00,1,0.81,0.493,4.73
2018-10-03 12:00:00,1,0.81,0.0347,4.52
2018-10-03 13:00:00,1,0.8,0.0091,3.78
2018-10-03 14:00:00,0.99,0.79,0.0235,2.81
2018-10-03 15:00:00,0.99,0.78,0.0502,2.14
2018-10-03 16:00:00,0.99,0.77,0.0495,1.9
2018-10-03 17:00:00,1,0.76,0.0517,1.93
2018-10-03 18:00:00,1,0.77,0.0519,2.27
2018-10-03 19:00:00,1,0.78,0.0407,2.99
2018-10-03 20:00:00,1,0.79,0.0269,3.79
2018-10-03 21:00:00,0.99,0.78,0.0175,5.15
2018-10-03 22:00:00,1,0.78,0.014,5.48
2018-10-03 23:00:00,1,0.77,0.0115,5.62
2018-10-04 00:00:00,1,0.78,0.0089,5.98
2018-10-04 01:00:00,1,0.79,0,6.73
2018-10-04 02:00:00,1,0.81,0,7.81
2018-10-04 03:00:00,1,0.82,0,8.79
2018-10-04 04:00:00,0.77,0.81,0,8.86
2018-10-04 05:00:00,0.46,0.78,0,8.61
2018-10-04 06:00:00,0.22,0.75,0,8.22
2018-10-04 07:00:00,0.13,0.72,0,7.73
2018-10-04 08:00:00,0.12,0.7,0,7.1
2018-10-04 09:00:00,0.12,0.67,0,6.75
2018-10-04 10:00:00,0.08,0.65,0,6.48
2018-10-04 11:00:00,0.05,0.64,0,6.28
2018-10-04 12:00:00,0.03,0.63,0,5.96
2018-10-04 13:00:00,0.03,0.62,0,5.32
2018-10-04 14:00:00,0.03,0.61,0,4.55
2018-10-04 15:00:00,0.03,0.58,0,3.7
2018-10-04 16:00:00,0.03,0.58,0,3.7
2018-10-04 17:00:00,0.03,0.58,0,4.05
2018-10-04 18:00:00,0.04,0.58,0,4.56
2018-10-04 19:00:00,0.05,0.59,0,5.16
2018-10-04 20:00:00,0.08,0.61,0.0121,5.9
2018-10-04 21:00:00,0.11,0.65,0.0243,7.94
2018-10-04 22:00:00,0.11,0.66,0.0306,8.7
2018-10-04 23:00:00,0.09,0.68,0.0318,9.32
2018-10-05 00:00:00,0.08,0.69,0.0272,9.93
2018-10-05 01:00:00,0.06,0.71,0.0136,10.54
2018-10-05 02:00:00,0.04,0.72,0.0052,11.13
2018-10-05 03:00:00,0.06,0.73,0.0067,11.89
2018-10-05 04:00:00,0.16,0.75,0.0157,12.42
2018-10-05 05:00:00,0.29,0.76,0.0533,12.93
2018-10-05 06:00:00,0.37,0.76,0.0954,13.46
2018-10-05 07:00:00,0.33,0.73,0.0904,13.93
2018-10-05 08:00:00,0.23,0.7,0.0655,14.4
2018-10-05 09:00:00,0.21,0.67,0.055,15.1
2018-10-05 10:00:00,0.29,0.66,0.0959,15.88
2018-10-05 11:00:00,0.42,0.65,0.2501,16.71
2018-10-05 12:00:00,0.53,0.65,0.3775,17.07
2018-10-05 13:00:00,0.57,0.64,0.2852,16.45
2018-10-05 14:00:00,0.58,0.63,0.1677,15.37
2018-10-05 15:00:00,0.59,0.61,0.1434,15.08
2018-10-05 16:00:00,0.49,0.6,0.1262,15.55
2018-10-05 17:00:00,0.34,0.59,0.1014,16.4
2018-10-05 18:00:00,0.24,0.58,0.0843,16.92
2018-10-05 19:00:00,0.21,0.58,0.0702,16.88
2018-10-05 20:00:00,0.23,0.58,0.0588,16.57
2018-10-05 21:00:00,0.29,0.57,0.0452,16.2
2018-10-05 22:00:00,0.29,0.58,0.025,16.06
2018-10-05 23:00:00,0.3,0.61,0.0117,15.98
2018-10-06 00:00:00,0.33,0.64,0.0094,15.88
2018-10-06 01:00:00,0.41,0.67,0.0134,15.76
2018-10-06 02:00:00,0.51,0.68,0.0338,15.62
2018-10-06 03:00:00,0.57,0.68,0.0604,15.72
2018-10-06 04:00:00,0.55,0.69,0.0677,15.46
2018-10-06 05:00:00,0.47,0.69,0.0648,15.12
2018-10-06 06:00:00,0.44,0.68,0.0559,14.79
2018-10-06 07:00:00,0.49,0.66,0.0338,14.51
2018-10-06 08:00:00,0.57,0.64,0.0143,14.25
2018-10-06 09:00:00,0.64,0.62,0.0099,14.29
2018-10-06 10:00:00,0.62,0.61,0.0181,13.72
2018-10-06 11:00:00,0.56,0.6,0.0414,12.94
2018-10-06 12:00:00,0.51,0.59,0.0646,12.31
2018-10-06 13:00:00,0.48,0.59,0.0695,11.99
2018-10-06 14:00:00,0.46,0.59,0.0647,11.83
2018-10-06 15:00:00,0.48,0.58,0.0543,11.71
2018-10-06 16:00:00,0.59,0.58,0.0428,11.42
2018-10-06 17:00:00,0.74,0.58,0.0335,11.07
2018-10-06 18:00:00,0.83,0.58,0.0337,10.72
2018-10-06 19:00:00,0.78,0.58,0.0439,10.41
2018-10-06 20:00:00,0.66,0.59,0.0634,10.15
2018-10-06 21:00:00,0.53,0.61,0.0726,10.82
2018-10-06 22:00:00,0.36,0.62,0.0604,10.65
2018-10-06 23:00:00,0.18,0.63,0.0404,10.39
2018-10-07 00:00:00,0.06,0.65,0.0286,10.2
2018-10-07 01:00:00,0.04,0.68,0.0249,10.11
2018-10-07 02:00:00,0.09,0.72,0.0246,10.1
2018-10-07 03:00:00,0.19,0.74,0.0286,10.43
2018-10-07 04:00:00,0.22,0.75,0.0353,10.49
2018-10-07 05:00:00,0.25,0.74,0.0465,10.57
2018-10-07 06:00:00,0.27,0.73,0.0511,10.65
2018-10-07 07:00:00,0.24,0.71,0.042,10.72
2018-10-07 08:00:00,0.2,0.69,0.0275,10.78
2018-10-07 09:00:00,0.16,0.67,0.0156,11.79
2018-10-07 10:00:00,0.11,0.66,0.0104,11.84
2018-10-07 11:00:00,0.06,0.64,0.007,11.74
2018-10-07 12:00:00,0.03,0.64,0.0054,11.57
2018-10-07 13:00:00,0.02,0.63,0,11.37
2018-10-07 14:00:00,0.03,0.62,0,11.12
2018-10-07 15:00:00,0.03,0.62,0,10.75
2018-10-07 16:00:00,0.02,0.62,0,9.89
2018-10-07 17:00:00,0.01,0.63,0,8.79
2018-10-07 18:00:00,0.01,0.64,0,7.84
2018-10-07 19:00:00,0.01,0.64,0,7.1
2018-10-07 20:00:00,0.01,0.65,0,6.51
2018-10-07 21:00:00,0.01,0.67,0,6.15
2018-10-07 22:00:00,0.01,0.69,0,6.45
2018-10-07 23:00:00,0.01,0.7,0,7.11
2018-10-08 00:00:00,0.01,0.72,0,7.64
2018-10-08 01:00:00,0.01,0.73,0,7.84
2018-10-08 02:00:00,0.01,0.75,0,7.9
2018-10-08 03:00:00,0.03,0.76,0,8.15
2018-10-08 04:00:00,0.05,0.76,0,8.15
2018-10-08 05:00:00,0.09,0.77,0.0083,8.09
2018-10-08 06:00:00,0.11,0.76,0.0186,8.01
2018-10-08 07:00:00,0.1,0.73,0.0234,7.89
2018-10-08 08:00:00,0.09,0.7,0.0246,7.75
2018-10-08 09:00:00,0.12,0.67,0.021,7.54
2018-10-08 10:00:00,0.12,0.66,0.015,7.39
2018-10-08 11:00:00,0.12,0.65,0.0083,7.24
2018-10-08 12:00:00,0.11,0.64,0,7.1
2018-10-08 13:00:00,0.11,0.63,0,7.02
2018-10-08 14:00:00,0.09,0.63,0,6.96
2018-10-08 15:00:00,0.08,0.62,0,6.77
2018-10-08 16:00:00,0.05,0.61,0,6.59
2018-10-08 17:00:00,0.02,0.62,0,6.37
2018-10-08 18:00:00,0,0.63,0,6.14
2018-10-08 19:00:00,0,0.64,0,5.92
2018-10-08 20:00:00,0,0.66,0,5.73
2018-10-08 21:00:00,0,0.68,0,4.68
2018-10-08 22:00:00,0,0.7,0,4.94
2018-10-08 23:00:00,0,0.72,0,5.5
2018-10-09 00:00:00,0,0.72,0,5.92
2018-10-09 01:00:00,0,0.73,0,6.09
2018-10-09 02:00:00,0,0.73,0,6.13
2018-10-09 03:00:00,0,0.75,0,5.84
2018-10-09 04:00:00,0,0.75,0,5.58
2018-10-09 05:00:00,0,0.76,0,5.25
2018-10-09 06:00:00,0,0.76,0,5.1
2018-10-09 07:00:00,0,0.74,0,5.28
2018-10-09 08:00:00,0,0.73,0,5.63
2018-10-09 09:00:00,0,0.73,0,5.85
2018-10-09 10:00:00,0,0.72,0,6.25
2018-10-09 11:00:00,0,0.72,0,6.7
2018-10-09 12:00:00,0,0.71,0,7.12
2018-10-09 13:00:00,0,0.7,0,7.47
2018-10-09 14:00:00,0.01,0.69,0,7.8
2018-10-09 15:00:00,0.01,0.67,0,8.79
2018-10-09 16:00:00,0.01,0.66,0,9.08
2018-10-09 17:00:00,0.01,0.67,0,9.25
2018-10-09 18:00:00,0,0.68,0,9.45
2018-10-09 19:00:00,0,0.7,0,9.71
2018-10-09 20:00:00,0,0.72,0,9.99
2018-10-09 21:00:00,0,0.74,0,9.36
2018-10-09 22:00:00,0,0.76,0,9.76
2018-10-09 23:00:00,0,0.78,0,10.35
2018-10-10 00:00:00,0,0.8,0,10.87
2018-10-10 01:00:00,0,0.82,0,11.29
2018-10-10 02:00:00,0,0.84,0,11.69
2018-10-10 03:00:00,0,0.86,0,11.78
2018-10-10 04:00:00,0,0.87,0,12.05
2018-10-10 05:00:00,0,0.87,0,12.31
2018-10-10 06:00:00,0.01,0.86,0,12.6
2018-10-10 07:00:00,0.04,0.85,0,13.03
2018-10-10 08:00:00,0.08,0.83,0,13.5
2018-10-10 09:00:00,0.2,0.83,0,12.34
2018-10-10 10:00:00,0.43,0.82,0.089,12.77
2018-10-10 11:00:00,0.73,0.81,0.4356,13.43
2018-10-10 12:00:00,0.95,0.8,0.9053,14.17
2018-10-10 13:00:00,0.99,0.81,1.2263,14.68
2018-10-10 14:00:00,0.98,0.8,1.5332,15.28
2018-10-10 15:00:00,0.97,0.79,1.9148,15.59
2018-10-10 16:00:00,0.98,0.76,2.5992,16.32
2018-10-10 17:00:00,0.99,0.76,3.3808,16.37
2018-10-10 18:00:00,1,0.78,3.435,15.61
2018-10-10 19:00:00,1,0.79,2.1787,13.09
2018-10-10 20:00:00,1,0.81,0.859,9.77
2018-10-10 21:00:00,1,0.84,0.3237,7.23
2018-10-10 22:00:00,0.75,0.82,0.1267,7.08
2018-10-10 23:00:00,0.42,0.81,0.0216,8
2018-10-11 00:00:00,0.21,0.8,0,8.9
2018-10-11 01:00:00,0.25,0.79,0,9.34
2018-10-11 02:00:00,0.43,0.79,0,9.75
2018-10-11 03:00:00,0.57,0.79,0,10.32
2018-10-11 04:00:00,0.61,0.78,0,10.97
2018-10-11 05:00:00,0.61,0.76,0,11.7
2018-10-11 06:00:00,0.58,0.75,0,12.31
2018-10-11 07:00:00,0.51,0.72,0,12.76
2018-10-11 08:00:00,0.41,0.7,0,13.08
2018-10-11 09:00:00,0.3,0.68,0,13.73
2018-10-11 10:00:00,0.2,0.65,0,13.49
2018-10-11 11:00:00,0.1,0.63,0,12.86
2018-10-11 12:00:00,0.04,0.62,0,12.3
2018-10-11 13:00:00,0.02,0.62,0,12.12
2018-10-11 14:00:00,0.02,0.62,0,12.15
2018-10-11 15:00:00,0.03,0.62,0,12.27
2018-10-11 16:00:00,0.04,0.61,0,12.36
2018-10-11 17:00:00,0.04,0.61,0,12.48
2018-10-11 18:00:00,0.04,0.6,0.0074,12.52
2018-10-11 19:00:00,0.04,0.61,0.0072,12.41
2018-10-11 20:00:00,0.03,0.62,0.0057,12.24
2018-10-11 21:00:00,0.03,0.63,0,12.37
2018-10-11 22:00:00,0.02,0.64,0,12.14
2018-10-11 23:00:00,0.01,0.66,0,11.83
2018-10-12 00:00:00,0.03,0.67,0,11.58
2018-10-12 01:00:00,0.1,0.69,0,11.43
2018-10-12 02:00:00,0.21,0.71,0,11.36
2018-10-12 03:00:00,0.32,0.72,0,11.08
2018-10-12 04:00:00,0.48,0.72,0,10.93
2018-10-12 05:00:00,0.67,0.71,0,10.74
2018-10-12 06:00:00,0.77,0.69,0.0062,10.37
2018-10-12 07:00:00,0.7,0.68,0,9.76
2018-10-12 08:00:00,0.55,0.65,0,8.99
2018-10-12 09:00:00,0.46,0.64,0,8.61
2018-10-12 10:00:00,0.47,0.62,0,7.63
2018-10-12 11:00:00,0.53,0.61,0,6.5
2018-10-12 12:00:00,0.59,0.59,0,5.51
2018-10-12 13:00:00,0.66,0.58,0,4.81
2018-10-12 14:00:00,0.73,0.57,0,4.26
2018-10-12 15:00:00,0.8,0.55,0,3.75
2018-10-12 16:00:00,0.87,0.55,0,3.19
2018-10-12 17:00:00,0.95,0.54,0,2.65
2018-10-12 18:00:00,1,0.54,0,2.12
2018-10-12 19:00:00,1,0.54,0,1.52
2018-10-12 20:00:00,1,0.55,0.0059,0.94
2018-10-12 21:00:00,1,0.57,0.0072,0.89
2018-10-12 22:00:00,1,0.59,0.0089,1.11
2018-10-12 23:00:00,1,0.61,0.0151,1.59
2018-10-13 00:00:00,1,0.64,0.0275,2.1
2018-10-13 01:00:00,1,0.7,0.0586,2.58
2018-10-13 02:00:00,1,0.74,0.1319,3.13
2018-10-13 03:00:00,1,0.77,0.2229,3.64
