,hex10,start_time,alerts,interactions
0,8a8e62c0b06ffff,2019-04-11 18:57:00.000,1,5
1,8a8e62c0b087fff,2019-04-15 18:00:00.000,1,1
2,8a8e62c0b267fff,2019-06-05 16:28:00.000,1,1
3,8a8e62c0b26ffff,2018-10-24 12:26:00.000,1,1
4,8a8e62c0b26ffff,2019-01-24 07:42:00.000,1,3
5,8a8e62c0b26ffff,2019-02-19 13:27:00.000,1,2
6,8a8e62c0b26ffff,2019-03-18 11:14:00.000,1,3
7,8a8e62c0b26ffff,2019-06-05 16:37:00.000,1,1
8,8a8e62c0b287fff,2019-02-16 16:55:00.000,1,1
9,8a8e62c0b287fff,2019-05-16 11:10:00.000,1,3
10,8a8e62c0b30ffff,2019-01-11 17:05:00.000,1,2
11,8a8e62c0b4c7fff,2019-01-28 00:29:00.000,1,3
12,8a8e62c0b4cffff,2019-06-29 01:38:00.000,1,1
13,8a8e62c0b4dffff,2019-01-28 02:12:00.000,1,1
14,8a8e62c0b7affff,2019-06-18 17:27:00.000,1,1
15,8a8e62c0ba87fff,2019-04-11 19:00:00.000,1,5
16,8a8e62c0ba87fff,2019-04-11 19:17:00.000,1,14
17,8a8e62c0ba87fff,2019-06-28 21:46:00.000,1,1
18,8a8e62c0ba87fff,2019-06-28 22:02:00.000,1,9
19,8a8e62c0ba87fff,2019-06-29 00:19:00.000,1,13
20,8a8e62c0ba87fff,2019-08-21 23:31:00.000,1,11
21,8a8e62c0baa7fff,2019-06-28 21:55:00.000,1,4
22,8a8e62c0bb8ffff,2019-04-11 18:02:00.000,1,12
23,8a8e62c50527fff,2019-04-24 13:18:00.000,1,1
24,8a8e62c50c8ffff,2019-03-11 17:29:00.000,1,2
25,8a8e62c50c97fff,2019-07-13 19:12:00.000,1,2
26,8a8e62c50cd7fff,2019-06-18 21:14:00.000,1,5
27,8a8e62c50cf7fff,2019-06-18 21:05:00.000,1,4
28,8a8e62c50d17fff,2018-10-17 22:35:00.000,1,7
29,8a8e62c50d87fff,2018-10-23 22:20:00.000,1,1
30,8a8e62c50d97fff,2019-03-14 13:51:00.000,1,2
