,uuid,latitude,longitude,interactions,street,reliability,start_time,end_time,share,cum_share,geometry,hex9,hex10,date,alerts
0,5f8a9ee4-cbfd-3b1e-b10f-861d0c1af10b,-12.132533,-77.031029,25,Vía Expresa Costa Verde,10,2019-02-03 03:25:00.000,2019-02-03 04:51:00.000,0.0229,0.022914757103574702,POINT (-77.031029 -12.132533),898e62c52dbffff,8a8e62ce5acffff,2019-02-03 12:00:00,1
1,c94d5b4a-974f-3550-ab60-39a507c0bf5c,-12.133135000000001,-77.030389,23,Vía Expresa Costa Verde,10,2019-02-09 00:56:00.000,2019-02-09 01:42:00.000,0.0211,0.04399633363886343,POINT (-77.030389 -12.133135),898e62c52dbffff,8a8e62c52d97fff,2019-02-09 12:00:00,1
2,a388e8ae-f3d9-3658-9f14-2e9db42892a4,-12.131729,-77.029708,21,Av. Armendáriz,10,2019-05-14 20:34:00.000,2019-05-14 21:52:00.000,0.0192,0.06324472960586618,POINT (-77.029708 -12.131729),898e62c52dbffff,8a8e62ce5a5ffff,2019-05-14 12:00:00,1
3,96a3dd01-3d0d-325a-8cb3-c5025e79db20,-12.132819,-77.03070500000001,20,Vía Expresa Costa Verde,10,2019-03-01 03:53:00.000,2019-03-01 04:40:00.000,0.0183,0.08157653528872594,POINT (-77.03070500000001 -12.132819),898e62c52dbffff,8a8e62c52d97fff,2019-03-01 12:00:00,1
4,3a936507-35e4-3efb-99d4-a94dda397ac5,-12.132325999999999,-77.031355,18,Vía Expresa Costa Verde,10,2019-02-09 02:32:00.000,2019-02-09 04:04:00.000,0.0165,0.09807516040329972,POINT (-77.031355 -12.132326),898e62ce5afffff,8a8e62ce5acffff,2019-02-09 12:00:00,1
5,60ca40a3-92aa-3e42-8e65-6223e6aeb078,-12.126217,-77.037943,18,Vía Expresa Costa Verde,10,2019-03-04 00:32:00.000,2019-03-04 01:09:00.000,0.0165,0.1145737855178735,POINT (-77.037943 -12.126217),898e62ce517ffff,8a8e62ce5167fff,2019-03-04 12:00:00,1
6,2bd0cb0a-a92c-3570-86ed-bbbfa06d9fff,-12.130360000000001,-77.034864,18,Vía Expresa Costa Verde,10,2019-04-08 12:20:00.000,2019-04-08 12:34:00.000,0.0165,0.1310724106324473,POINT (-77.034864 -12.13036),898e62ce5abffff,8a8e62ce5a8ffff,2019-04-08 12:00:00,1
7,62bc4025-a647-382f-8e30-e863425e2c8d,-12.130995,-77.033702,16,Vía Expresa Costa Verde,10,2019-02-09 01:14:00.000,2019-02-09 02:12:00.000,0.0147,0.1457378551787351,POINT (-77.03370200000001 -12.130995),898e62ce5afffff,8a8e62ce5ad7fff,2019-02-09 12:00:00,1
8,37dc538d-20c2-365f-b3f5-4114772afe51,-12.126658,-77.016046,16,Av. Alfredo Benavides,10,2019-08-12 01:16:00.000,2019-08-12 02:12:00.000,0.0147,0.1604032997250229,POINT (-77.016046 -12.126658),898e62c562bffff,8a8e62c562a7fff,2019-08-12 12:00:00,1
9,dadbc55c-86fb-3199-b015-67b3381ccbf9,-12.136199000000001,-77.025515,15,Quebrada de Armendáriz,10,2018-11-07 13:12:00.000,2018-11-07 13:57:00.000,0.0137,0.17415215398716774,POINT (-77.025515 -12.136199),898e62c52c3ffff,8a8e62c52c0ffff,2018-11-07 12:00:00,1
