,hex10,date,alerts,interactions
0,8a8e62c0b06ffff,2019-04-11,1,5
1,8a8e62c0b087fff,2019-04-15,1,1
2,8a8e62c0b267fff,2019-06-05,1,1
3,8a8e62c0b26ffff,2018-10-24,1,1
4,8a8e62c0b26ffff,2019-01-24,1,3
5,8a8e62c0b26ffff,2019-02-19,1,2
6,8a8e62c0b26ffff,2019-03-18,1,3
7,8a8e62c0b26ffff,2019-06-05,1,1
8,8a8e62c0b287fff,2019-02-16,1,1
9,8a8e62c0b287fff,2019-05-16,1,3
10,8a8e62c0b30ffff,2019-01-11,1,2
11,8a8e62c0b4c7fff,2019-01-28,1,3
12,8a8e62c0b4cffff,2019-06-29,1,1
13,8a8e62c0b4dffff,2019-01-28,1,1
14,8a8e62c0b7affff,2019-06-18,1,1
15,8a8e62c0ba87fff,2019-04-11,2,19
16,8a8e62c0ba87fff,2019-06-28,2,10
17,8a8e62c0ba87fff,2019-06-29,1,13
18,8a8e62c0ba87fff,2019-08-21,1,11
19,8a8e62c0baa7fff,2019-06-28,1,4
20,8a8e62c0bb8ffff,2019-04-11,1,12
21,8a8e62c50527fff,2019-04-24,1,1
22,8a8e62c50c8ffff,2019-03-11,1,2
23,8a8e62c50c97fff,2019-07-13,1,2
24,8a8e62c50cd7fff,2019-06-18,1,5
25,8a8e62c50cf7fff,2019-06-18,1,4
26,8a8e62c50d17fff,2018-10-17,1,7
27,8a8e62c50d87fff,2018-10-23,1,1
28,8a8e62c50d97fff,2019-03-14,1,2
29,8a8e62c50daffff,2019-05-21,1,3
30,8a8e62c50daffff,2019-07-18,1,3
31,8a8e62c52c0ffff,2018-11-07,1,15
32,8a8e62c52c0ffff,2019-07-21,1,3
33,8a8e62c52c2ffff,2018-10-28,1,3
34,8a8e62c52c77fff,2018-11-07,2,9
35,8a8e62c52caffff,2018-11-12,1,4
36,8a8e62c52cc7fff,2018-11-07,1,5
37,8a8e62c52ce7fff,2019-03-01,1,1
38,8a8e62c52cf7fff,2018-10-25,1,11
39,8a8e62c52d47fff,2018-11-07,1,1
40,8a8e62c52d4ffff,2018-11-18,1,4
41,8a8e62c52d4ffff,2019-01-08,1,2
42,8a8e62c52d4ffff,2019-03-27,1,1
