,number of interactions,number of segments,percentage interactions,price share (%),total cost (U$)
0,0,0,0,0.0,0.0
1,42,1,5,0.2,1158.0004799999997
2,105,3,10,0.9,6455.816639999999
3,160,5,15,1.3,9764.052479999998
4,211,7,20,2.2,16466.224319999998
5,260,9,25,3.5,26714.273039999996
6,315,12,30,4.8,36425.45088
7,366,15,35,6.7,50960.997359999994
8,427,19,40,8.1,61540.18416
9,481,23,45,8.9,67028.598
10,540,28,50,11.1,83982.09455999998
11,591,33,55,13.6,102618.4068
12,651,40,60,18.4,138955.53671999997
13,709,48,65,21.7,164508.59879999998
14,763,57,70,26.7,201960.15839999996
15,815,67,75,29.5,223368.49079999997
16,870,79,80,37.4,282757.4568
17,925,93,85,45.2,342488.3061599999
18,979,111,90,61.2,463337.3253599999
19,1035,135,95,75.3,569967.19416
20,1091,182,100,100.0,756923.79672
