"uuid","latitude","longitude","interactions","street","reliability","start_time","end_time","share","cum_share"
"5f8a9ee4-cbfd-3b1e-b10f-861d0c1af10b","-12.132533","-77.031029","25","Vía Expresa Costa Verde","10","2019-02-03 03:25:00.000","2019-02-03 04:51:00.000","0.0229","0.022914757103574702"
"c94d5b4a-974f-3550-ab60-39a507c0bf5c","-12.133135","-77.030389","23","Vía Expresa Costa Verde","10","2019-02-09 00:56:00.000","2019-02-09 01:42:00.000","0.0211","0.043996333638863426"
"a388e8ae-f3d9-3658-9f14-2e9db42892a4","-12.131729","-77.029708","21","Av. Armendáriz","10","2019-05-14 20:34:00.000","2019-05-14 21:52:00.000","0.0192","0.06324472960586618"
"96a3dd01-3d0d-325a-8cb3-c5025e79db20","-12.132819","-77.030705","20","Vía Expresa Costa Verde","10","2019-03-01 03:53:00.000","2019-03-01 04:40:00.000","0.0183","0.08157653528872594"
"3a936507-35e4-3efb-99d4-a94dda397ac5","-12.132326","-77.031355","18","Vía Expresa Costa Verde","10","2019-02-09 02:32:00.000","2019-02-09 04:04:00.000","0.0165","0.09807516040329972"
"60ca40a3-92aa-3e42-8e65-6223e6aeb078","-12.126217","-77.037943","18","Vía Expresa Costa Verde","10","2019-03-04 00:32:00.000","2019-03-04 01:09:00.000","0.0165","0.1145737855178735"
"2bd0cb0a-a92c-3570-86ed-bbbfa06d9fff","-12.13036","-77.034864","18","Vía Expresa Costa Verde","10","2019-04-08 12:20:00.000","2019-04-08 12:34:00.000","0.0165","0.1310724106324473"
"62bc4025-a647-382f-8e30-e863425e2c8d","-12.130995","-77.033702","16","Vía Expresa Costa Verde","10","2019-02-09 01:14:00.000","2019-02-09 02:12:00.000","0.0147","0.1457378551787351"
"37dc538d-20c2-365f-b3f5-4114772afe51","-12.126658","-77.016046","16","Av. Alfredo Benavides","10","2019-08-12 01:16:00.000","2019-08-12 02:12:00.000","0.0147","0.1604032997250229"
"dadbc55c-86fb-3199-b015-67b3381ccbf9","-12.136199","-77.025515","15","Quebrada de Armendáriz","10","2018-11-07 13:12:00.000","2018-11-07 13:57:00.000","0.0137","0.17415215398716774"
"23ff1d2c-1974-362a-9f3f-288a4221c581","-12.129531","-77.022893","15","Av. 28 de Julio","10","2019-02-16 04:01:00.000","2019-02-16 04:58:00.000","0.0137","0.18790100824931255"
"cbcb8b19-1034-3957-a7c6-cf4b48ea547a","-12.131117","-77.034052","15","Vía Expresa Costa Verde","10","2019-05-18 11:28:00.000","2019-05-18 13:21:00.000","0.0137","0.2016498625114574"
"e88dd382-ede8-3c22-abf7-bf16fb973182","-12.108257","-77.027299","15","Carlos Tenaud","10","2019-05-20 23:28:00.000","2019-05-21 00:13:00.000","0.0137","0.2153987167736022"
"6194cafa-8596-347d-9ddc-d4d834ee834e","-12.126269","-77.0178","15","Av. Alfredo Benavides","10","2019-08-12 01:01:00.000","2019-08-12 02:29:00.000","0.0137","0.229147571035747"
"3ecde17c-4c37-351a-aea0-4e5f31a4196b","-12.122409","-77.020617","14","Av. Ricardo Palma","10","2019-01-19 23:07:00.000","2019-01-19 23:41:00.000","0.0128","0.24197983501374887"
"a6283706-a9ec-3e00-9e80-8bfb607cfa7b","-12.105527","-77.03314","14","Av. Santa Cruz","10","2019-04-11 19:17:00.000","2019-04-11 20:28:00.000","0.0128","0.25481209899175067"
"f534403b-ab8d-35c4-bf1d-91455a1a4426","-12.130687","-77.034704","14","Vía Expresa Costa Verde","10","2019-06-07 13:31:00.000","2019-06-07 14:33:00.000","0.0128","0.2676443629697525"
"530282b0-8b3a-3f4e-9766-8d2344a914d5","-12.111907","-77.052472","13","Vía Expresa Costa Verde","10","2019-01-19 04:48:00.000","2019-01-19 05:13:00.000","0.0119","0.27956003666361134"
"96b48315-9cce-3e09-a007-702f525b4f0f","-12.105103","-77.03279","13","Av. Santa Cruz","10","2019-06-29 00:19:00.000","2019-06-29 01:27:00.000","0.0119","0.2914757103574702"
"d1f8d202-9875-3ab1-83e2-745385af0db0","-12.126781","-77.037418","13","Vía Expresa Costa Verde","10","2019-08-15 16:08:00.000","2019-08-15 16:24:00.000","0.0119","0.30339138405132904"
