time,cloudCover,humidity,precipIntensity,windSpeed
2018-09-30 02:00:00,0.68,0.71,0.0023,3.16
2018-10-01 02:00:00,0.88,0.72,0.0022,2.83
2018-10-02 02:00:00,0.82,0.73,0.0032,2.6
2018-10-03 02:00:00,1,0.72,0.0025,2.1
2018-10-04 02:00:00,0.92,0.72,0.0009,2.31
2018-10-05 02:00:00,0.49,0.72,0.0035,3.03
2018-10-06 02:00:00,0.9,0.72,0.0041,2.63
2018-10-07 02:00:00,0.83,0.73,0.0062,2.34
2018-10-08 02:00:00,0.59,0.72,0.0031,2.85
2018-10-09 02:00:00,0.65,0.72,0.0044,2.66
2018-10-10 02:00:00,0.73,0.71,0.0013,2.76
2018-10-11 02:00:00,0.92,0.72,0.0037,3.1
2018-10-12 02:00:00,0.97,0.73,0.0039,3.45
2018-10-13 02:00:00,0.99,0.74,0.0038,3.22
2018-10-14 02:00:00,0.98,0.74,0.0019,2.54
2018-10-15 02:00:00,0.93,0.73,0.001,2.45
2018-10-16 02:00:00,0.81,0.72,0.0013,2.61
2018-10-17 02:00:00,0.65,0.71,0.0022,3.09
2018-10-18 02:00:00,0.62,0.7,0.0016,2.55
2018-10-19 02:00:00,0.86,0.71,0.0019,2.77
2018-10-20 02:00:00,0.92,0.71,0.0021,2.97
2018-10-21 02:00:00,0.95,0.71,0.0011,2.85
2018-10-22 02:00:00,0.85,0.71,0.0006,2.37
2018-10-23 02:00:00,0.8,0.7,0.0008,2.48
2018-10-24 02:00:00,0.93,0.7,0.0022,2.57
2018-10-25 02:00:00,0.5,0.7,0.0015,3.51
2018-10-26 02:00:00,0.63,0.7,0.0032,3.39
2018-10-27 02:00:00,0.9,0.71,0.005,2.88
2018-10-28 02:00:00,0.99,0.72,0.004,2.8
2018-10-29 02:00:00,0.36,0.71,0.0023,2.79
2018-10-30 02:00:00,0.4,0.7,0.0095,3.26
2018-10-31 02:00:00,0.92,0.7,0.0045,3.1
2018-11-01 02:00:00,0.96,0.72,0.0006,2.85
2018-11-02 02:00:00,0.7,0.71,0.0026,2.69
2018-11-03 02:00:00,0.31,0.7,0.002,3.06
2018-11-04 02:00:00,0.71,0.71,0.0032,3.39
2018-11-05 02:00:00,0.69,0.72,0.0042,2.91
2018-11-06 02:00:00,0.67,0.72,0.0029,3.51
2018-11-07 02:00:00,0.85,0.71,0.0059,3.62
2018-11-08 02:00:00,0.92,0.72,0.002,2.98
2018-11-09 02:00:00,0.99,0.71,0.0012,3.32
2018-11-10 02:00:00,0.98,0.72,0.0028,3.29
2018-11-11 02:00:00,0.96,0.71,0.002,3.6
2018-11-12 02:00:00,0.98,0.71,0.0019,4.03
2018-11-13 02:00:00,0.47,0.72,0.0059,3.15
2018-11-14 02:00:00,0.67,0.72,0.0051,2.96
2018-11-15 02:00:00,0.69,0.72,0.0035,3.07
2018-11-16 02:00:00,0.97,0.71,0.0038,3.63
2018-11-17 02:00:00,0.53,0.71,0.0047,3.63
2018-11-18 02:00:00,0.95,0.71,0.0032,2.85
2018-11-19 02:00:00,1,0.71,0.0035,3.1
2018-11-20 02:00:00,1,0.7,0.0025,3.35
2018-11-21 02:00:00,0.99,0.72,0.0014,3.55
2018-11-22 02:00:00,1,0.71,0.0041,3.26
2018-11-23 02:00:00,1,0.71,0.0017,3.47
2018-11-24 02:00:00,0.75,0.71,0.004,3.37
2018-11-25 02:00:00,0.95,0.71,0.0058,3.16
2018-11-26 02:00:00,0.99,0.71,0.0028,2.85
2018-11-27 02:00:00,0.7,0.71,0.0049,2.59
2018-11-28 02:00:00,0.88,0.72,0.0063,2.87
2018-11-29 02:00:00,0.63,0.72,0.0074,3.33
