time,cloudCover,humidity,precipIntensity,windSpeed
2018-10-01 00:00:00,0.16,0.69,0,2.89
2018-10-01 01:00:00,0.14,0.7,0,2.9
2018-10-01 02:00:00,0.15,0.72,0,2.95
2018-10-01 03:00:00,0.2,0.75,0,3.04
2018-10-01 04:00:00,0.41,0.76,0,3.14
2018-10-01 05:00:00,0.69,0.78,0,3.28
2018-10-01 06:00:00,0.9,0.79,0,3.36
2018-10-01 07:00:00,0.95,0.79,0,3.33
2018-10-01 08:00:00,0.93,0.79,0.0061,3.24
2018-10-01 09:00:00,0.92,0.8,0.0066,2.32
2018-10-01 10:00:00,0.95,0.78,0,2.34
2018-10-01 11:00:00,0.97,0.78,0,2.54
2018-10-01 12:00:00,0.99,0.75,0,2.76
2018-10-01 13:00:00,1,0.73,0,2.94
2018-10-01 14:00:00,1,0.7,0,3.12
2018-10-01 15:00:00,1,0.71,0,3.32
2018-10-01 16:00:00,1,0.66,0,3.33
2018-10-01 17:00:00,1,0.63,0,3.27
2018-10-01 18:00:00,1,0.62,0,3.18
2018-10-01 19:00:00,1,0.62,0,3.06
2018-10-01 20:00:00,1,0.63,0,2.91
2018-10-01 21:00:00,1,0.67,0,2.28
2018-10-01 22:00:00,1,0.69,0,2.09
2018-10-01 23:00:00,1,0.69,0,1.97
2018-10-02 00:00:00,1,0.7,0,1.96
2018-10-02 01:00:00,1,0.71,0,2.09
2018-10-02 02:00:00,0.99,0.73,0.0054,2.34
2018-10-02 03:00:00,0.98,0.76,0.0069,2.34
2018-10-02 04:00:00,0.92,0.78,0.0063,2.48
2018-10-02 05:00:00,0.84,0.79,0,2.63
2018-10-02 06:00:00,0.78,0.8,0,2.73
2018-10-02 07:00:00,0.76,0.8,0,2.74
2018-10-02 08:00:00,0.76,0.81,0.005,2.71
2018-10-02 09:00:00,0.76,0.8,0.0053,1.94
2018-10-02 10:00:00,0.67,0.78,0,2.15
2018-10-02 11:00:00,0.55,0.79,0,2.55
2018-10-02 12:00:00,0.48,0.77,0,2.86
2018-10-02 13:00:00,0.49,0.74,0,2.98
2018-10-02 14:00:00,0.55,0.73,0,3.01
2018-10-02 15:00:00,0.63,0.7,0,3
2018-10-02 16:00:00,0.75,0.65,0,3.02
2018-10-02 17:00:00,0.88,0.62,0,3.04
