"uuid","latitude","longitude","interactions","street","reliability","start_time","end_time","share","cum_share"
"b336ef4a-a85c-3cac-b448-75e50cc23d7c","-34.878758","-56.071303","36","Av. Italia","10","2019-01-07 01:56:00.000","2019-01-07 04:16:00.000","0.0849","0.08490566037735849"
"2606c07f-96a3-3fef-817d-e5b087574ef8","-34.863587","-56.169005","10",,"10","2019-01-02 14:05:00.000","2019-01-02 15:42:00.000","0.0236","0.10849056603773585"
"8f5b9166-c54f-3cdf-9318-8f64a40d2a72","-34.878743","-56.071234","10","Av. Italia","10","2019-07-26 12:10:00.000","2019-07-26 14:14:00.000","0.0236","0.1320754716981132"
"171f4421-d891-3155-976f-25f06cf32b61","-34.877649","-56.06314","7","Av. Italia","10","2019-03-12 19:31:00.000","2019-03-12 21:03:00.000","0.0165","0.14858490566037735"
"f57f07ee-a5f4-3d70-927b-2846630af0c7","-34.876446","-56.203718","7","Eduardo D. Carbajal","10","2019-03-15 11:17:00.000","2019-03-15 12:20:00.000","0.0165","0.1650943396226415"
"080df7d4-fc14-3a37-ba09-1c01ddf5d40b","-34.877385","-56.060134","7","Av. Italia","10","2019-08-17 16:03:00.000","2019-08-17 18:03:00.000","0.0165","0.18160377358490565"
"2308aee4-7832-3cf8-9c86-1b8b72f49f22","-34.877481","-56.061136","6","Av. Italia","10","2019-01-02 12:16:00.000","2019-01-02 13:45:00.000","0.0142","0.1957547169811321"
"26dda1dc-2827-31d9-ab93-928e08c1da3f","-34.905184","-56.125738","6","Rambla Armenia","10","2019-01-02 12:19:00.000","2019-01-02 13:08:00.000","0.0142","0.2099056603773585"
"a52976fa-94ea-3475-a053-050a17596149","-34.884942","-56.095697","6","Av. Italia","10","2019-01-02 12:22:00.000","2019-01-02 13:58:00.000","0.0142","0.2240566037735849"
"c2665069-2507-307c-a63e-13097f04920b","-34.915147","-56.181934","6","Rambla República Argentina","10","2019-02-11 21:38:00.000","2019-02-11 22:47:00.000","0.0142","0.23820754716981132"
"6d90e4dd-4e2f-3d2d-907f-aba5ce9de5ad","-34.858284","-56.133615","6","Av. 8 de Octubre","10","2019-05-10 01:31:00.000","2019-05-10 03:00:00.000","0.0142","0.25235849056603776"
"8054c640-0a69-397f-8208-e9fc1ed39096","-34.878708","-56.071154","6","Av. Italia","10","2019-05-21 12:20:00.000","2019-05-21 13:50:00.000","0.0142","0.2665094339622642"
"3d557ca8-fd6a-32ce-b9c7-b322ac2a4573","-34.905206","-56.127844","6","Rambla Armenia","10","2019-07-26 13:30:00.000","2019-07-26 14:44:00.000","0.0142","0.2806603773584906"
"4c1413a5-7329-37aa-b59c-6cba8497c614","-34.878245","-56.068241","5","Av. Italia","10","2019-01-02 12:37:00.000","2019-01-02 14:01:00.000","0.0118","0.29245283018867924"
"1286b2a7-1e3f-341a-a3e1-951e015fe4b9","-34.895612","-56.164748","5","Bv. Gral. Artigas","10","2019-05-10 12:09:00.000","2019-05-10 12:50:00.000","0.0118","0.30424528301886794"
"34074026-6b9c-3cdd-839b-6df54b32e188","-34.87637","-56.203836","5","Eduardo D. Carbajal","9","2019-03-13 11:28:00.000","2019-03-13 13:11:00.000","0.0118","0.3160377358490566"
"8d91be24-575d-3d23-b59d-27810021822e","-34.878728","-56.071212","5","Av. Italia","9","2019-06-15 16:32:00.000","2019-06-15 18:07:00.000","0.0118","0.3278301886792453"
"a8dda174-07f4-3c3b-b5e7-492b43be57f0","-34.89643","-56.154518","5","Av. Ramón V. Benzano","9","2019-07-26 21:00:00.000","2019-07-26 22:18:00.000","0.0118","0.33962264150943394"
"5f88f996-dcfe-3992-8f2f-59093f6896d0","-34.860968","-56.147447","4","Av. José Pedro Varela","9","2019-01-02 16:44:00.000","2019-01-02 18:04:00.000","0.0094","0.3490566037735849"
"0ea065b9-bf6b-3056-b38d-cf25a556be81","-34.863297","-56.16954","4",,"9","2019-03-12 19:36:00.000","2019-03-12 20:44:00.000","0.0094","0.3584905660377358"
"1227504a-a8c7-370d-a1bf-ae85174c765b","-34.872171","-56.099615","4","Cno. Carrasco","9","2019-03-13 11:31:00.000","2019-03-13 13:01:00.000","0.0094","0.36792452830188677"
"78eb0128-fee7-3088-9224-dee883ff9b6f","-34.848324","-56.133714","4","Av. José Belloni","9","2019-07-26 11:55:00.000","2019-07-26 13:27:00.000","0.0094","0.37735849056603776"
"8360289f-501b-3ad8-aff3-e3f3ed2d9b98","-34.890155","-56.187518","3","Av. de las Leyes","9","2019-02-23 20:52:00.000","2019-02-23 21:53:00.000","0.0071","0.38443396226415094"
"76aeafdb-3da9-31bd-b5e4-41bec849b4b5","-34.878645","-56.070935","3","Av. Italia","8","2019-08-17 16:04:00.000","2019-08-17 17:04:00.000","0.0071","0.3915094339622642"
"88ceb281-b62d-3b19-90f3-d02d7e69ab76","-34.914874","-56.170397","3","Rambla Pdte. Wilson","7","2019-01-16 01:18:00.000","2019-01-16 02:34:00.000","0.0071","0.39858490566037735"
"67c1dc35-99fa-3faf-a027-f90eb7f70771","-34.859433","-56.173726","3","Bv. José Batlle y Ordóñez","7","2019-03-12 18:47:00.000","2019-03-12 20:34:00.000","0.0071","0.4056603773584906"
"7453c74b-3d1a-3f26-96e2-bab606858777","-34.880258","-56.075724","3","Av. Italia","7","2019-03-12 19:33:00.000","2019-03-12 20:43:00.000","0.0071","0.41273584905660377"
"c57b98e3-300c-34e5-acff-ede31dc9cd39","-34.898778","-56.153687","3","Av. Dr. Américo Ricaldoni","7","2019-04-27 12:30:00.000","2019-04-27 13:32:00.000","0.0071","0.419811320754717"
"0d903f8b-b7f8-3381-9e3a-90ab4d8646b1","-34.840188","-56.121786","3","Camino Maldonado","7","2019-05-10 01:37:00.000","2019-05-10 03:16:00.000","0.0071","0.4268867924528302"
"8f63fd16-48aa-3bc6-bb7c-72c7072ab1b3","-34.877646","-56.06147","3","Av. Italia","7","2019-05-21 00:36:00.000","2019-05-21 01:43:00.000","0.0071","0.4339622641509434"
"8f0b7aee-08bd-3c84-a296-1f1980265329","-34.86045","-56.213885","3","Cno. Castro","7","2019-05-21 10:45:00.000","2019-05-21 11:44:00.000","0.0071","0.4410377358490566"
"0ea87a46-8635-3ea9-a7a4-85267cf363e3","-34.896389","-56.154072","3","Av. Ramón V. Benzano","7","2019-07-12 00:41:00.000","2019-07-12 01:53:00.000","0.0071","0.4481132075471698"
"2dd0dbe4-7ed9-34c2-a80b-4e0e6d844c6b","-34.827217","-56.140786","3","Av. José Belloni","7","2019-07-26 12:00:00.000","2019-07-26 13:21:00.000","0.0071","0.455188679245283"
"5a9727b3-c278-3e03-a26e-f05bec80e7fe","-34.877412","-56.060407","3","Av. Italia","7","2019-08-17 14:31:00.000","2019-08-17 15:47:00.000","0.0071","0.46226415094339623"
"9286075a-2e87-3b16-a5f6-091349118e46","-34.877559","-56.062079","3","Av. Italia","7","2019-08-17 14:41:00.000","2019-08-17 15:52:00.000","0.0071","0.4693396226415094"
"3ad7b5b8-c183-338a-a871-aa18fdae3019","-34.828997","-56.121051","2","Bv. Aparicio Saravia","8","2018-11-28 17:46:00.000","2018-11-28 18:46:00.000","0.0047","0.4740566037735849"
"b3ddab73-0d9b-3fe8-9e1a-8c96c9fc9272","-34.875456","-56.210713","2","Rambla Dr. Baltasar Brum","7","2018-11-28 11:27:00.000","2018-11-28 11:42:00.000","0.0047","0.47877358490566035"
"98e72065-17d7-3977-9f68-aa4e5bccfb59","-34.878346","-56.069034","2","Av. Italia","7","2019-01-02 13:32:00.000","2019-01-02 14:31:00.000","0.0047","0.4834905660377358"
"8f2a9f13-98cb-3263-beaa-6d18a991edbe","-34.880353","-56.075997","2","Av. Italia","7","2019-01-02 14:24:00.000","2019-01-02 15:30:00.000","0.0047","0.4882075471698113"
"7dd150e7-a574-3ffb-afa8-edb95256a870","-34.899343","-56.187523","2","Ejido","7","2019-01-02 15:32:00.000","2019-01-02 16:24:00.000","0.0047","0.49292452830188677"
"f6373a3f-7964-3166-a61b-f267c0dfe0a6","-34.841425","-56.123889","2","Camino Maldonado","7","2019-05-05 03:37:00.000","2019-05-05 04:40:00.000","0.0047","0.49764150943396224"
"1698cfc4-ab6b-37e0-8107-d70fdea05a6e","-34.851804","-56.128875","2","Camino Maldonado","7","2019-05-10 01:32:00.000","2019-05-10 02:31:00.000","0.0047","0.5023584905660378"
"c6a2d5b6-c47f-31e3-a259-27ef92fcab9a","-34.896827","-56.075179","2","Rambla República de México","7","2019-05-20 20:21:00.000","2019-05-20 21:21:00.000","0.0047","0.5070754716981132"
"6c11d787-8b7e-357c-9b99-9d329ec73a0b","-34.890135","-56.187621","2","Av. de las Leyes","7","2019-05-21 00:48:00.000","2019-05-21 01:47:00.000","0.0047","0.5117924528301887"
"bcb86321-8b93-303d-82e5-db1057ab1ca3","-34.877308","-56.052047","2","Gral. Nariño","7","2019-05-21 11:18:00.000","2019-05-21 12:18:00.000","0.0047","0.5165094339622641"
"2e4b5420-6bb0-3949-bf07-2ef02bdcad79","-34.837764","-56.170086","2","Av. Burgues","7","2019-06-15 16:04:00.000","2019-06-15 17:31:00.000","0.0047","0.5212264150943396"
"8a128698-968f-30ec-bb63-2802762cad5f","-34.863444","-56.168568","2",,"7","2019-07-12 00:42:00.000","2019-07-12 01:41:00.000","0.0047","0.5259433962264151"
"8bfe306b-f641-39bc-b46a-52ccfd851f1a","-34.925803","-56.166139","2","Rambla Pdte. Wilson","6","2018-11-11 16:04:00.000","2018-11-11 17:03:00.000","0.0047","0.5306603773584906"
"4a565065-e387-31aa-b597-7eeed4ec84be","-34.915081","-56.170053","2","Rambla Pdte. Wilson","6","2019-01-07 10:40:00.000","2019-01-07 11:58:00.000","0.0047","0.535377358490566"
"cd5932eb-423c-3572-981e-6aa817fc3524","-34.915184","-56.169853","2",,"6","2019-01-07 11:43:00.000","2019-01-07 12:43:00.000","0.0047","0.5400943396226415"
"51de4059-b0ec-3259-96e0-da1a8c65cf33","-34.877423","-56.060509","2","Av. Italia","6","2019-01-16 01:34:00.000","2019-01-16 02:34:00.000","0.0047","0.5448113207547169"
"b8f293d4-1227-3373-8dd3-975968e330e7","-34.859269","-56.173942","2","Bv. José Batlle y Ordóñez","6","2019-03-08 10:57:00.000","2019-03-08 12:00:00.000","0.0047","0.5495283018867925"
"5462b94e-3267-388a-8ac2-cf386604cbd8","-34.851243","-56.136348","2","Osvaldo Cruz","6","2019-03-12 21:56:00.000","2019-03-12 23:19:00.000","0.0047","0.5542452830188679"
"1c0a82a7-fbd5-3fe9-bf0b-5532acd18e77","-34.86449","-56.152236","2","Av. Dámaso Antonio Larrañaga","6","2019-03-12 22:00:00.000","2019-03-12 22:59:00.000","0.0047","0.5589622641509434"
"ef7c3f51-cca7-3b3d-8a3c-eb83361f8b00","-34.876781","-56.051839","2","Av. Italia","6","2019-03-12 23:07:00.000","2019-03-13 00:08:00.000","0.0047","0.5636792452830188"
"8bc2cd9e-be81-39cd-ae33-ad25fb73f433","-34.858734","-56.203227","2","Av. Atilio Pelosi","6","2019-03-13 10:46:00.000","2019-03-13 11:48:00.000","0.0047","0.5683962264150944"
"a68b233a-51ed-3f58-993b-3f99f0b5dc50","-34.877461","-56.051974","2","Gral. Nariño","6","2019-03-13 11:18:00.000","2019-03-13 12:20:00.000","0.0047","0.5731132075471698"
"e9ea9a15-d988-3ed6-ae5e-c70a61ea159a","-34.905285","-56.126221","2","Rambla Armenia","6","2019-03-15 10:47:00.000","2019-03-15 11:08:00.000","0.0047","0.5778301886792453"
"c6fe0c2e-22f3-376c-9ba3-613a3cd17eaf","-34.85173","-56.212513","2","Molinos de Raffo","6","2019-03-15 10:58:00.000","2019-03-15 12:30:00.000","0.0047","0.5825471698113207"
"0bcb80f3-0872-39d8-b7ca-6daa113b64eb","-34.894413","-56.091894","2","Dr. Alejandro Gallinal","6","2019-04-04 11:41:00.000","2019-04-04 12:41:00.000","0.0047","0.5872641509433962"
"8909352a-4827-3810-a944-02bc2edff107","-34.895327","-56.083789","2","Coímbra","6","2019-04-05 11:39:00.000","2019-04-05 12:48:00.000","0.0047","0.5919811320754716"
"6ba85127-c073-37bc-8570-bf59eaba635c","-34.876824","-56.052321","2","Av. Italia","6","2019-05-05 04:40:00.000","2019-05-05 05:40:00.000","0.0047","0.5966981132075472"
"c3ef3943-b401-3812-9491-05ae6906f484","-34.876393","-56.209081","2","Rambla Dr. Baltasar Brum","6","2019-05-05 23:27:00.000","2019-05-06 00:57:00.000","0.0047","0.6014150943396226"
"189211d2-32a3-3f65-ba5e-09d809c68cf7","-34.869521","-56.134866","2","Av. 8 de Octubre","6","2019-05-10 01:27:00.000","2019-05-10 02:27:00.000","0.0047","0.6061320754716981"
"a6e037bc-8825-3564-9ad9-19450da4ee11","-34.895815","-56.183968","2","Magallanes","6","2019-05-28 20:05:00.000","2019-05-28 21:23:00.000","0.0047","0.6108490566037735"
"4f751688-7363-3de0-8652-b2c3a98e13c0","-34.883223","-56.165928","2","Martín Fierro","6","2019-06-28 18:59:00.000","2019-06-28 19:59:00.000","0.0047","0.6155660377358491"
"3333a55b-9ca4-3801-80ae-77eddd218bb2","-34.907829","-56.178776","2","Canelones","6","2019-07-08 14:53:00.000","2019-07-08 16:18:00.000","0.0047","0.6202830188679245"
"417f759e-af99-3a12-8031-723b6cb77dfa","-34.87455","-56.184423","2","Av. Gral. San Martín","6","2019-07-09 17:46:00.000","2019-07-09 18:21:00.000","0.0047","0.625"
"d7084d35-5334-3c86-980b-89522899144b","-34.877082","-56.052156","2","Gral. Nariño","6","2019-07-12 01:15:00.000","2019-07-12 02:37:00.000","0.0047","0.6297169811320755"
"a5466e32-f287-394b-bf2a-85325c50af62","-34.885876","-56.047664","2","Gral. Nariño","6","2019-07-12 11:00:00.000","2019-07-12 12:16:00.000","0.0047","0.6344339622641509"
"19887590-f1b2-32bf-9f8a-3c272dc88212","-34.828727","-56.184672","2","Av. De Las Instrucciones","6","2019-07-12 14:05:00.000","2019-07-12 15:05:00.000","0.0047","0.6391509433962265"
"0cd71ce9-37d4-3c05-9da9-1c6a32e22401","-34.871176","-56.115683","2","Cno. Carrasco","6","2019-07-26 11:45:00.000","2019-07-26 13:22:00.000","0.0047","0.6438679245283019"
"726b1642-9863-3515-af7f-8f38b66ea032","-34.825106","-56.140926","2","Av. José Belloni","6","2019-07-26 12:12:00.000","2019-07-26 13:13:00.000","0.0047","0.6485849056603774"
"de83e8e4-5616-33f3-95e8-46dbb4d93265","-34.896396","-56.154142","2","Av. Ramón V. Benzano","6","2019-07-27 10:19:00.000","2019-07-27 11:19:00.000","0.0047","0.6533018867924528"
"a2c543d6-4095-39cf-ac24-2fd6d967c3ac","-34.896429","-56.154508","2","Av. Ramón V. Benzano","6","2019-07-27 16:23:00.000","2019-07-27 17:22:00.000","0.0047","0.6580188679245284"
"48476b4e-898b-3966-9b93-c7055e5ab96e","-34.878267","-56.069565","2","Av. Italia","6","2019-08-17 14:33:00.000","2019-08-17 15:42:00.000","0.0047","0.6627358490566038"
