time,cloudCover,humidity,precipIntensity,windSpeed
2018-10-01 00:00:00,0.52,0.65,0.2475,6.79
2018-10-02 00:00:00,0.15,0.49,0.0011,2.29
2018-10-03 00:00:00,0.17,0.58,0.0011,3.62
2018-10-04 00:00:00,0.09,0.58,0.0008,3.89
2018-10-05 00:00:00,0.41,0.63,0.0012,3.81
2018-10-06 00:00:00,0.15,0.7,0.0012,3.43
2018-10-07 00:00:00,0,0.69,0.0012,4.2
2018-10-08 00:00:00,0.22,0.69,0.4288,3.79
2018-10-09 00:00:00,0.5,0.72,0.2562,4.24
2018-10-10 00:00:00,0.23,0.62,0.0004,4.1
2018-10-11 00:00:00,0.81,0.56,0.0203,4.19
2018-10-12 00:00:00,0.99,0.8,0.0924,3.34
2018-10-13 00:00:00,0.32,0.73,0.0037,2.3
2018-10-14 00:00:00,0.02,0.67,0.0006,3.94
2018-10-15 00:00:00,0,0.6,0,4.33
2018-10-16 00:00:00,0,0.64,0.0011,4.74
2018-10-17 00:00:00,0.37,0.77,0.0903,4.53
2018-10-18 00:00:00,0.81,0.83,0.0014,5.52
2018-10-19 00:00:00,0.53,0.68,0.0046,6.99
2018-10-20 00:00:00,0.59,0.62,0.0005,4.65
2018-10-21 00:00:00,0.62,0.62,0.0045,3.98
2018-10-22 00:00:00,0.55,0.69,0.0004,3.58
2018-10-23 00:00:00,0.36,0.59,0,5.88
2018-10-24 00:00:00,0.84,0.7,0.1661,4.66
2018-10-25 00:00:00,0.72,0.74,0.0052,3.38
2018-10-26 00:00:00,0.76,0.73,0.007,4.54
2018-10-27 00:00:00,0.52,0.68,0.0012,5.03
2018-10-28 00:00:00,0.51,0.72,0.0033,3.2
2018-10-29 00:00:00,0.64,0.65,0.014,5.51
2018-10-30 00:00:00,0.8,0.78,0.1576,4.51
2018-10-31 00:00:00,0.87,0.8,0.0142,6.29
2018-11-01 00:00:00,0.51,0.59,0.0037,5.51
2018-11-02 00:00:00,0.63,0.63,0.1178,5.32
2018-11-03 00:00:00,0.39,0.75,0.0761,3.3
2018-11-04 00:00:00,0.07,0.68,0.0009,3.31
2018-11-05 00:00:00,0.43,0.69,0.001,4.06
2018-11-06 00:00:00,0.69,0.69,0.0023,4.87
2018-11-07 00:00:00,0.29,0.59,0.0012,5.8
2018-11-08 00:00:00,0.18,0.58,0.0008,5.7
2018-11-09 00:00:00,0.37,0.62,0.0771,5
2018-11-10 00:00:00,0.98,0.79,0.8236,5.05
2018-11-11 00:00:00,0.95,0.85,0.4355,4.7
2018-11-12 00:00:00,0.99,0.77,0.5367,3.96
2018-11-13 00:00:00,0.82,0.84,0.5676,4.2
2018-11-14 00:00:00,0.52,0.69,0.0326,7.99
2018-11-15 00:00:00,0.09,0.64,0.0014,5.95
2018-11-16 00:00:00,0.43,0.56,0.0197,6.58
2018-11-17 00:00:00,0.6,0.74,0.0545,5.54
2018-11-18 00:00:00,0.25,0.56,0,5.76
2018-11-19 00:00:00,0.06,0.51,0.0005,4.27
2018-11-20 00:00:00,0,0.48,0.001,5.32
2018-11-21 00:00:00,0,0.46,0.0003,5.25
2018-11-22 00:00:00,0.42,0.65,0.0387,6.46
2018-11-23 00:00:00,0.99,0.83,0.3069,8.68
2018-11-24 00:00:00,0.83,0.78,0.0531,6.97
2018-11-25 00:00:00,0.33,0.56,0.0022,3.25
2018-11-26 00:00:00,0.82,0.55,0.002,3.18
2018-11-27 00:00:00,0.79,0.57,0.0007,5.68
2018-11-28 00:00:00,1,0.81,0.6825,7.46
2018-11-29 00:00:00,0.81,0.79,0.0494,7.1
2018-11-30 00:00:00,0.72,0.79,0.2327,4.36
2018-12-01 00:00:00,0.8,0.73,0.0984,8.21
2018-12-02 00:00:00,0.48,0.55,0.0174,6.13
2018-12-03 00:00:00,0.22,0.63,0.0003,6.2
2018-12-04 00:00:00,0.67,0.64,0.002,6.29
2018-12-05 00:00:00,0.68,0.64,0.0036,5.82
2018-12-06 00:00:00,0.69,0.57,0.0087,7.24
2018-12-07 00:00:00,0.25,0.51,0.0009,3.57
2018-12-08 00:00:00,0,0.53,0.0006,3.29
2018-12-09 00:00:00,0.3,0.53,0.0458,4.45
2018-12-10 00:00:00,0.28,0.64,0.0366,2.7
2018-12-11 00:00:00,0.88,0.67,0.0938,4.73
2018-12-12 00:00:00,0.59,0.65,0.0003,5.06
2018-12-13 00:00:00,0.57,0.6,0.334,6.75
2018-12-14 00:00:00,0.74,0.78,1.9039,7.52
2018-12-15 00:00:00,0.31,0.61,0.0003,3.34
2018-12-16 00:00:00,0.14,0.6,0,3.63
2018-12-17 00:00:00,0.94,0.81,0.7986,5.14
2018-12-18 00:00:00,0.86,0.68,0.0064,6.71
2018-12-19 00:00:00,0.68,0.74,0.0107,4.28
2018-12-20 00:00:00,0.82,0.79,0.2383,3.43
2018-12-21 00:00:00,0.57,0.76,0.1692,4
2018-12-22 00:00:00,0.56,0.72,0.0299,4.18
2018-12-23 00:00:00,0.11,0.69,0.0009,2.14
2018-12-24 00:00:00,0,0.69,0.0014,3.97
2018-12-25 00:00:00,0,0.62,0.0006,4.78
2018-12-26 00:00:00,0.08,0.69,0.0013,4.93
2018-12-27 00:00:00,0.6,0.74,0.0411,4.27
2018-12-28 00:00:00,0.45,0.77,0.0256,4.98
2018-12-29 00:00:00,0.6,0.79,0.3846,5.71
2018-12-30 00:00:00,0.55,0.71,1.5897,5.98
2018-12-31 00:00:00,0.07,0.56,0.0005,5.38
2019-01-01 01:00:00,0.26,0.7,0.0783,4.97
2019-01-02 01:00:00,0.85,0.86,1.1674,3.73
2019-01-03 01:00:00,0.83,0.59,0.0017,6.11
2019-01-04 01:00:00,0.13,0.59,0.0011,3.68
2019-01-05 01:00:00,0,0.56,0.0006,4.39
2019-01-06 01:00:00,0.58,0.7,0.0824,5.2
2019-01-07 01:00:00,0.89,0.85,1.026,5.17
2019-01-08 01:00:00,0.33,0.73,0.0037,4.04
2019-01-09 01:00:00,0.69,0.73,0.0454,4.74
2019-01-10 01:00:00,0.91,0.72,0.0119,6.59
2019-01-11 01:00:00,0.26,0.56,0.0116,4.18
2019-01-12 01:00:00,0.29,0.64,0.0009,4.15
2019-01-13 01:00:00,0.65,0.8,0.1275,4.57
2019-01-14 01:00:00,0.79,0.81,0.0607,4.98
2019-01-15 01:00:00,0.96,0.86,0.4286,4.76
2019-01-16 01:00:00,0.63,0.79,0.1642,3.22
2019-01-17 01:00:00,0.64,0.7,0.0003,6.84
2019-01-18 01:00:00,0.83,0.66,0.1167,6.56
2019-01-19 01:00:00,0.42,0.6,0.0034,5.19
2019-01-20 01:00:00,0.32,0.67,0.0007,4.31
2019-01-21 01:00:00,0.19,0.65,0.0022,3.76
2019-01-22 01:00:00,0.31,0.66,0.0006,3.47
2019-01-23 01:00:00,0.67,0.67,0.0203,6.11
2019-01-24 01:00:00,0.09,0.64,0.0007,6.15
2019-01-25 01:00:00,0.71,0.71,0.0473,5.62
2019-01-26 01:00:00,0.79,0.74,0.13,3.91
2019-01-27 01:00:00,0.57,0.77,0.025,4.45
2019-01-28 01:00:00,0.25,0.69,0.2116,4.25
2019-01-29 01:00:00,0.49,0.72,0.1616,4.89
2019-01-30 01:00:00,0.87,0.78,0.0847,4.46
2019-01-31 01:00:00,0.44,0.7,0.0019,3.95
2019-02-01 01:00:00,0.83,0.72,0.0335,3.28
2019-02-02 01:00:00,0.62,0.57,0.11,8.17
2019-02-03 01:00:00,0.61,0.56,0.0053,5.76
2019-02-04 01:00:00,0.17,0.58,0,2.59
2019-02-05 01:00:00,0.12,0.66,0,3.31
2019-02-06 01:00:00,0.17,0.68,0.0006,4.26
2019-02-07 01:00:00,0.37,0.71,0,4.15
2019-02-08 01:00:00,0.48,0.68,0.0114,4.14
2019-02-09 01:00:00,0.78,0.71,0.0398,2.74
2019-02-10 01:00:00,0.19,0.68,0.037,2.88
2019-02-11 01:00:00,0.79,0.73,0.5675,5.79
2019-02-12 01:00:00,0.67,0.53,0.0382,7.92
2019-02-13 01:00:00,0.18,0.57,0.0016,3.38
2019-02-14 01:00:00,0.79,0.74,0.1647,3.55
2019-02-15 01:00:00,0.27,0.73,0.0003,2.47
2019-02-16 01:00:00,0.04,0.7,0.0016,2.91
2019-02-17 00:00:00,0.09,0.72,0.0011,4.49
2019-02-18 00:00:00,0.15,0.7,0.0009,4.42
2019-02-19 00:00:00,0.21,0.65,0.0017,3.05
2019-02-20 00:00:00,0.14,0.66,0.0009,3.69
2019-02-21 00:00:00,0.48,0.67,0.0667,4.34
2019-02-22 00:00:00,0.67,0.68,0.2204,5.03
2019-02-23 00:00:00,0.99,0.82,1.8092,3.08
2019-02-24 00:00:00,0.79,0.7,0.0443,4.72
2019-02-25 00:00:00,0.54,0.57,0.0663,4.45
2019-02-26 00:00:00,0.45,0.53,0.0025,5.55
2019-02-27 00:00:00,0.26,0.51,0.0155,5.15
2019-02-28 00:00:00,0.36,0.65,0.0452,3.25
2019-03-01 00:00:00,0.41,0.63,0.0022,5.7
2019-03-02 00:00:00,0.45,0.69,0.0175,5.4
2019-03-03 00:00:00,0.24,0.69,0.0015,3.9
2019-03-04 00:00:00,0.94,0.77,0.2461,5.57
2019-03-05 00:00:00,0.36,0.77,0.0007,3.9
2019-03-06 00:00:00,0.23,0.77,0.0035,3.51
2019-03-07 00:00:00,0.28,0.73,0.5737,4.82
2019-03-08 00:00:00,0.9,0.69,0.3706,8.15
2019-03-09 00:00:00,0.72,0.58,0.0166,6.57
2019-03-10 00:00:00,0.42,0.58,0.0076,3.95
2019-03-11 00:00:00,0.31,0.67,0.0053,4.31
2019-03-12 00:00:00,0.92,0.82,0.5923,4.38
2019-03-13 00:00:00,0.66,0.82,0.5142,8.97
2019-03-14 00:00:00,0.67,0.81,0.1145,6.14
2019-03-15 00:00:00,0.64,0.82,0.0403,7.73
2019-03-16 00:00:00,0.75,0.79,0.0384,6.38
2019-03-17 00:00:00,0.9,0.83,0.2095,4.28
2019-03-18 00:00:00,0.46,0.82,0.0005,2.63
2019-03-19 00:00:00,0.45,0.64,0.0025,7.62
2019-03-20 00:00:00,0.63,0.59,0.0146,6.27
2019-03-21 00:00:00,0.53,0.57,0.0156,3.6
2019-03-22 00:00:00,0.68,0.68,0.0013,2.27
2019-03-23 00:00:00,0.31,0.68,0.0026,2.85
2019-03-24 00:00:00,0.34,0.67,0.013,7.24
2019-03-25 00:00:00,0.79,0.73,0.1272,6.73
2019-03-26 00:00:00,0.53,0.64,0.0421,6.01
2019-03-27 00:00:00,0.42,0.65,0.0202,4.98
2019-03-28 00:00:00,0.13,0.67,0.0003,4.77
2019-03-29 00:00:00,0.7,0.73,0.0329,5.05
2019-03-30 00:00:00,0.39,0.76,0.0011,3.04
2019-03-31 00:00:00,0.64,0.84,0.0006,2.44
2019-04-01 00:00:00,0.78,0.85,0.0007,2.8
2019-04-02 00:00:00,0.43,0.76,0.0344,3.24
2019-04-03 00:00:00,0.47,0.68,0.0247,5.4
2019-04-04 00:00:00,0.64,0.82,0.4248,5.38
2019-04-05 00:00:00,0.6,0.64,0.0147,8.26
2019-04-06 00:00:00,0.44,0.68,0.002,0.76
2019-04-07 00:00:00,0.23,0.74,0.0008,1.88
2019-04-08 00:00:00,0,0.71,0.0002,2.42
2019-04-09 00:00:00,0.01,0.74,0.0006,2.68
2019-04-10 00:00:00,0.35,0.77,0.0018,3.84
2019-04-11 00:00:00,0.84,0.78,0.1387,5.19
2019-04-12 00:00:00,0.62,0.61,0.001,2.04
