time,cloudCover,humidity,precipIntensity,windSpeed
2018-10-01 00:00:00,0.19,0.84,1.7011,9.21
2018-10-01 01:00:00,0.19,0.85,1.421,12.79
2018-10-01 02:00:00,0.19,0.85,0.8661,11.32
2018-10-01 03:00:00,0.19,0.85,0.5212,9.19
2018-10-01 04:00:00,0.19,0.8,0.3871,7.12
2018-10-01 05:00:00,0.19,0.79,0.3104,7.03
2018-10-01 06:00:00,0.19,0.79,0.235,7.9
2018-10-01 07:00:00,1,0.78,0.1309,6.81
2018-10-01 08:00:00,1,0.78,0.0544,5.13
2018-10-01 09:00:00,1,0.74,0.0308,4.88
2018-10-01 10:00:00,1,0.72,0.0348,5.03
2018-10-01 11:00:00,1,0.73,0.0694,7.44
2018-10-01 12:00:00,0.75,0.73,0.0953,8.38
2018-10-01 13:00:00,0.75,0.73,0.0558,8.44
2018-10-01 14:00:00,1,0.6,0.0133,4.99
2018-10-01 15:00:00,1,0.64,0,4.63
2018-10-01 16:00:00,0.76,0.49,0,6.64
2018-10-01 17:00:00,0.54,0.46,0,9.06
2018-10-01 18:00:00,0.44,0.47,0,6.39
2018-10-01 19:00:00,0.44,0.49,0,4.42
2018-10-01 20:00:00,0.23,0.35,0,5.14
2018-10-01 21:00:00,0.18,0.42,0,3.32
2018-10-01 22:00:00,0.11,0.39,0,3.83
2018-10-01 23:00:00,0.05,0.4,0,3.77
2018-10-02 00:00:00,0,0.46,0,2.13
2018-10-02 01:00:00,0,0.49,0,3.22
2018-10-02 02:00:00,0,0.56,0,1.63
2018-10-02 03:00:00,0,0.55,0,1.64
2018-10-02 04:00:00,0,0.67,0,2.16
2018-10-02 05:00:00,0,0.57,0,1.65
2018-10-02 06:00:00,0.19,0.67,0,2.13
2018-10-02 07:00:00,0.19,0.72,0,2.2
2018-10-02 08:00:00,0.19,0.64,0,1.89
2018-10-02 09:00:00,0,0.4,0,1.56
2018-10-02 10:00:00,0,0.38,0,3.57
2018-10-02 11:00:00,0.19,0.35,0,3.8
2018-10-02 12:00:00,0.19,0.31,0,2.47
2018-10-02 13:00:00,0.19,0.35,0,3.18
2018-10-02 14:00:00,0.44,0.37,0,2.78
2018-10-02 15:00:00,0.44,0.38,0,2.27
2018-10-02 16:00:00,0.44,0.35,0,2.31
2018-10-02 17:00:00,0.44,0.39,0,2.94
2018-10-02 18:00:00,0.23,0.32,0,1.89
2018-10-02 19:00:00,0.22,0.46,0,2.28
2018-10-02 20:00:00,0.16,0.49,0,2.05
2018-10-02 21:00:00,0.12,0.58,0,1.26
2018-10-02 22:00:00,0.07,0.71,0,1.85
2018-10-02 23:00:00,0.03,0.67,0,2.03
2018-10-03 00:00:00,0,0.78,0,2.18
2018-10-03 01:00:00,0,0.74,0,2.85
2018-10-03 02:00:00,0,0.76,0,2.9
2018-10-03 03:00:00,0,0.76,0,2.92
2018-10-03 04:00:00,0,0.75,0,0.86
2018-10-03 05:00:00,0,0.74,0,0.87
2018-10-03 06:00:00,0,0.74,0,2.38
2018-10-03 07:00:00,0,0.74,0,2.38
2018-10-03 08:00:00,0.19,0.68,0,3.47
2018-10-03 09:00:00,0.19,0.58,0,4.61
2018-10-03 10:00:00,0.19,0.6,0,4.1
2018-10-03 11:00:00,0.44,0.5,0,7.25
2018-10-03 12:00:00,0.44,0.59,0,4.64
2018-10-03 13:00:00,0.44,0.46,0,6.12
2018-10-03 14:00:00,0.19,0.44,0,5.36
2018-10-03 15:00:00,0.19,0.38,0,5.23
2018-10-03 16:00:00,0.19,0.36,0,4.85
2018-10-03 17:00:00,0.19,0.32,0,5.55
2018-10-03 18:00:00,0.19,0.4,0,3.21
2018-10-03 19:00:00,0.19,0.42,0,2.71
2018-10-03 20:00:00,0.19,0.47,0,3.14
2018-10-03 21:00:00,0.04,0.48,0,2.9
2018-10-03 22:00:00,0.44,0.55,0,3.41
2018-10-03 23:00:00,0.44,0.6,0,2.98
2018-10-04 00:00:00,0.13,0.63,0,3.54
2018-10-04 01:00:00,0.12,0.65,0,3.12
2018-10-04 02:00:00,0.09,0.67,0,3.21
2018-10-04 03:00:00,0.06,0.7,0,2.76
2018-10-04 04:00:00,0.19,0.79,0,2.21
2018-10-04 05:00:00,0.19,0.68,0,5.85
2018-10-04 06:00:00,0.02,0.6,0,2.91
