time,cloudCover,humidity,precipIntensity,windSpeed
2018-10-01 00:00:00,0.91,0.82,0.1641,2.06
2018-10-02 00:00:00,0.34,0.72,0.0009,3.09
2018-10-03 00:00:00,0.42,0.77,0.0159,3.59
2018-10-04 00:00:00,0.88,0.79,0.1442,4
2018-10-05 00:00:00,0.93,0.78,0.6219,5.08
2018-10-06 00:00:00,0.95,0.81,0.1112,2.88
2018-10-07 00:00:00,0.78,0.81,0.1272,3.33
2018-10-08 00:00:00,0.82,0.86,0.5698,2.83
2018-10-09 00:00:00,0.84,0.9,0.1412,1.95
2018-10-10 00:00:00,0.54,0.82,0.0212,2.8
2018-10-11 00:00:00,0.99,0.93,0.2073,3.36
2018-10-12 00:00:00,0.79,0.91,0.1076,3.71
2018-10-13 00:00:00,0.54,0.78,0.1858,2.95
2018-10-14 00:00:00,0.95,0.86,0.1151,4.38
2018-10-15 00:00:00,1,0.88,0.0541,2.91
2018-10-16 00:00:00,0.96,0.82,0.0574,3.99
2018-10-17 00:00:00,0.75,0.82,0.1067,3.36
2018-10-18 00:00:00,0.72,0.85,0.0963,2.19
2018-10-19 00:00:00,0.81,0.86,0.1892,5.23
2018-10-20 00:00:00,0.52,0.63,0.0688,5.37
2018-10-21 00:00:00,0.57,0.7,0.0122,3.32
2018-10-22 00:00:00,0.41,0.67,0.0022,3.62
2018-10-23 00:00:00,0.24,0.75,0.0005,3.29
2018-10-24 00:00:00,0.85,0.83,0.2847,3.52
2018-10-25 00:00:00,0.98,0.93,0.471,2.76
2018-10-26 00:00:00,0.9,0.86,0.0121,3.09
2018-10-27 00:00:00,0.69,0.78,0.1962,3.53
2018-10-28 00:00:00,0.75,0.67,0.0405,6.27
2018-10-29 00:00:00,0.92,0.72,0.0166,2.98
2018-10-30 00:00:00,0.49,0.73,0.0012,3.64
2018-10-31 00:00:00,0.53,0.76,0.0067,3.45
2018-11-01 00:00:00,0.47,0.77,0.1916,3.29
2018-11-02 00:00:00,0.8,0.81,0.0294,3.59
2018-11-03 00:00:00,0.37,0.71,0.3891,3.14
2018-11-04 00:00:00,0.82,0.81,0.1098,5.67
2018-11-04 23:00:00,0.99,0.77,0.0842,3.94
2018-11-05 23:00:00,0.88,0.76,0.0056,4.45
2018-11-06 23:00:00,0.8,0.84,0.3665,4.19
2018-11-07 23:00:00,0.99,0.93,1.8268,3.85
2018-11-08 23:00:00,0.86,0.88,0.3404,3.88
2018-11-09 23:00:00,0.74,0.8,0.1538,3.43
2018-11-10 23:00:00,0.46,0.77,0.0621,3.09
2018-11-11 23:00:00,0.43,0.8,0.0181,3.81
2018-11-12 23:00:00,0.55,0.72,0.0012,3.88
2018-11-13 23:00:00,0.7,0.69,0.0003,3.36
2018-11-14 23:00:00,0.65,0.69,0.0044,3.94
2018-11-15 23:00:00,0.88,0.85,0.1274,3.45
2018-11-16 23:00:00,0.52,0.76,0.0411,3.7
2018-11-17 23:00:00,0.29,0.63,0.0009,3.18
2018-11-18 23:00:00,0.88,0.86,1.122,4.61
2018-11-19 23:00:00,1,0.89,0.2863,2.48
2018-11-20 23:00:00,0.94,0.86,0.2492,1.8
2018-11-21 23:00:00,0.43,0.74,0.0294,2.85
2018-11-22 23:00:00,0.44,0.63,0.1211,3.07
2018-11-23 23:00:00,0.47,0.65,0.007,3.54
2018-11-24 23:00:00,0.7,0.67,0.6313,3.43
2018-11-25 23:00:00,0.92,0.89,0.9505,4.05
2018-11-26 23:00:00,0.88,0.83,0.0992,3.28
2018-11-27 23:00:00,0.62,0.84,0.0135,3.44
2018-11-28 23:00:00,0.36,0.75,0.0013,2.92
2018-11-29 23:00:00,0.64,0.76,0.0091,2.1
2018-11-30 23:00:00,0.78,0.74,0.0335,3.84
