time,cloudCover,humidity,precipIntensity,windSpeed
2018-10-01 00:00:00,1,0.86,0.3356,1.68
2018-10-01 01:00:00,1,0.86,0.3159,2
2018-10-01 02:00:00,1,0.88,0.2831,1.78
2018-10-01 03:00:00,1,0.88,0.2596,1.83
2018-10-01 04:00:00,1,0.88,0.1992,2.55
2018-10-01 05:00:00,1,0.88,0.1342,3.28
2018-10-01 06:00:00,1,0.86,0.0805,2.2
2018-10-01 07:00:00,0.75,0.81,0.034,1.68
2018-10-01 08:00:00,0.75,0.78,0.0063,1.51
2018-10-01 09:00:00,0.65,0.71,0,1.67
2018-10-01 10:00:00,0.75,0.67,0.0071,1.4
2018-10-01 11:00:00,0.75,0.68,0.0544,1.65
2018-10-01 12:00:00,0.75,0.7,0.1472,1.8
2018-10-01 13:00:00,0.75,0.7,0.304,2.27
2018-10-01 14:00:00,0.94,0.75,0.5191,2.16
2018-10-01 15:00:00,1,0.83,0.6041,2.17
2018-10-01 16:00:00,1,0.86,0.3321,3.16
2018-10-01 17:00:00,1,0.89,0.0636,3.88
2018-10-01 18:00:00,1,0.91,0.0087,1.72
2018-10-01 19:00:00,1,0.9,0.0189,1.6
2018-10-01 20:00:00,1,0.88,0.0571,2.82
2018-10-01 21:00:00,0.9,0.85,0.0962,1.61
2018-10-01 22:00:00,0.9,0.84,0.0616,1.43
2018-10-01 23:00:00,1,0.87,0.0149,1.44
2018-10-02 00:00:00,0.75,0.82,0,0.83
2018-10-02 01:00:00,0.75,0.87,0,2.36
2018-10-02 02:00:00,0.75,0.87,0,3.39
2018-10-02 03:00:00,0.75,0.86,0,1.97
2018-10-02 04:00:00,0.44,0.86,0,3.49
2018-10-02 05:00:00,0.44,0.88,0,2.5
2018-10-02 06:00:00,0.19,0.86,0,1.32
2018-10-02 07:00:00,0.26,0.83,0,2.45
2018-10-02 08:00:00,0.21,0.67,0,2.43
2018-10-02 09:00:00,0.17,0.56,0,2.56
2018-10-02 10:00:00,0.19,0.5,0,2.93
2018-10-02 11:00:00,0.19,0.48,0,2.48
2018-10-02 12:00:00,0.19,0.46,0,3.23
2018-10-02 13:00:00,0.4,0.52,0,5.64
2018-10-02 14:00:00,0.31,0.6,0,5.45
2018-10-02 15:00:00,0.19,0.58,0,5.47
2018-10-02 16:00:00,0.19,0.62,0,6.53
2018-10-02 17:00:00,0.19,0.67,0,5.03
2018-10-02 18:00:00,0.02,0.59,0,2.41
2018-10-02 19:00:00,0.04,0.84,0,3.17
2018-10-02 20:00:00,0.11,0.81,0,3.37
2018-10-02 21:00:00,0.23,0.86,0,1.64
2018-10-02 22:00:00,0.43,0.83,0,2.05
2018-10-02 23:00:00,0.68,0.81,0,1.4
2018-10-03 00:00:00,0.86,0.86,0,1.4
2018-10-03 01:00:00,0.19,0.9,0,2.51
2018-10-03 02:00:00,0.19,0.89,0,1.47
2018-10-03 03:00:00,0.19,0.89,0,2.04
2018-10-03 04:00:00,0.19,0.91,0,2.54
2018-10-03 05:00:00,0.19,0.86,0,2.03
2018-10-03 06:00:00,0.19,0.86,0,1.83
2018-10-03 07:00:00,0.19,0.86,0,1.5
2018-10-03 08:00:00,1,0.79,0,1.96
2018-10-03 09:00:00,1,0.75,0,2.72
2018-10-03 10:00:00,0.72,0.58,0,3.14
2018-10-03 11:00:00,0.35,0.56,0,2.82
2018-10-03 12:00:00,0.08,0.56,0,3.07
2018-10-03 13:00:00,0.19,0.55,0,3.68
2018-10-03 14:00:00,0.19,0.6,0,3.9
2018-10-03 15:00:00,0.19,0.67,0,6.23
2018-10-03 16:00:00,0.19,0.77,0.0159,6.22
2018-10-03 17:00:00,0.23,0.78,0.0885,5.44
2018-10-03 18:00:00,0.31,0.81,0.1457,4.29
2018-10-03 19:00:00,0.44,0.85,0.0888,5.97
2018-10-03 20:00:00,0.75,0.79,0.017,5.95
2018-10-03 21:00:00,0.68,0.78,0,6.52
2018-10-03 22:00:00,0.75,0.86,0,3.71
2018-10-03 23:00:00,0.75,0.84,0.0071,5.29
2018-10-04 00:00:00,0.75,0.82,0.0152,3.23
2018-10-04 01:00:00,0.75,0.82,0.0091,2.54
2018-10-04 02:00:00,0.75,0.85,0,3.22
2018-10-04 03:00:00,0.75,0.85,0.0053,4.06
2018-10-04 04:00:00,1,0.77,0.005,4.52
2018-10-04 05:00:00,1,0.79,0.005,4.69
2018-10-04 06:00:00,1,0.83,0.0071,3.19
2018-10-04 07:00:00,1,0.82,0.013,2.58
2018-10-04 08:00:00,1,0.8,0.0327,2.82
2018-10-04 09:00:00,1,0.81,0.059,3.92
2018-10-04 10:00:00,0.88,0.77,0.0692,4.47
2018-10-04 11:00:00,0.92,0.78,0.0689,6.24
2018-10-04 12:00:00,0.89,0.78,0.0676,5.33
2018-10-04 13:00:00,1,0.77,0.0645,6.05
2018-10-04 14:00:00,0.78,0.74,0.0621,4.93
2018-10-04 15:00:00,0.75,0.71,0.0651,5.9
2018-10-04 16:00:00,0.85,0.77,0.0577,4.88
2018-10-04 17:00:00,0.87,0.77,0.0568,4.5
2018-10-04 18:00:00,0.91,0.79,0.0841,4.62
2018-10-04 19:00:00,1,0.8,0.1747,3.77
2018-10-04 20:00:00,1,0.79,0.3433,2.61
2018-10-04 21:00:00,0.86,0.8,0.5199,2.86
2018-10-04 22:00:00,0.75,0.81,0.7245,2.36
2018-10-04 23:00:00,0.75,0.82,0.947,2.63
2018-10-05 00:00:00,0.75,0.86,1.1356,4.67
2018-10-05 01:00:00,0.75,0.89,1.2524,5.81
2018-10-05 02:00:00,0.75,0.92,1.3155,5.35
2018-10-05 03:00:00,0.75,0.92,1.324,5.69
