time,cloudCover,humidity,precipIntensity,windSpeed
2018-10-01 00:00:00,0.93,0.85,0.1446,2.15
2018-10-02 00:00:00,0.31,0.76,0.0009,2.96
2018-10-03 00:00:00,0.55,0.78,0.0011,3.53
2018-10-04 00:00:00,0.89,0.8,0.1364,3.85
2018-10-05 00:00:00,0.97,0.8,0.6075,5.48
2018-10-06 00:00:00,0.9,0.83,0.1162,3.29
2018-10-07 00:00:00,0.78,0.82,0.1103,3.81
2018-10-08 00:00:00,0.79,0.88,0.4184,3.05
2018-10-09 00:00:00,0.82,0.91,0.0475,1.87
2018-10-10 00:00:00,0.55,0.85,0.0234,2.78
2018-10-11 00:00:00,0.97,0.93,0.161,3.33
2018-10-12 00:00:00,0.79,0.93,0.1026,4.02
2018-10-13 00:00:00,0.58,0.8,0.1719,3.15
2018-10-14 00:00:00,0.93,0.87,0.128,4.34
2018-10-15 00:00:00,0.99,0.88,0.0666,3.21
2018-10-16 00:00:00,0.95,0.81,0.0604,4.59
2018-10-17 00:00:00,0.74,0.83,0.0732,3.99
2018-10-18 00:00:00,0.68,0.85,0.1305,2.48
2018-10-19 00:00:00,0.79,0.86,0.1936,5
2018-10-20 00:00:00,0.5,0.64,0.0754,5.2
2018-10-21 00:00:00,0.57,0.69,0.0095,3.75
2018-10-22 00:00:00,0.39,0.68,0.0029,4.19
2018-10-23 00:00:00,0.27,0.76,0.0005,3.26
2018-10-24 00:00:00,0.86,0.83,0.2079,3.82
2018-10-25 00:00:00,0.97,0.93,0.4861,3.26
2018-10-26 00:00:00,0.91,0.89,0.0127,3.5
2018-10-27 00:00:00,0.7,0.79,0.1933,3.57
2018-10-28 00:00:00,0.76,0.68,0.0502,6
2018-10-29 00:00:00,0.94,0.73,0.0165,3.16
2018-10-30 00:00:00,0.49,0.74,0.0011,4.03
2018-10-31 00:00:00,0.51,0.78,0.0012,3.86
2018-11-01 00:00:00,0.45,0.77,0.108,3.22
2018-11-02 00:00:00,0.8,0.81,0.0226,3.86
2018-11-03 00:00:00,0.37,0.72,0.2569,3.24
2018-11-04 00:00:00,0.83,0.81,0.0838,5.74
