time,cloudCover,humidity,precipIntensity,windSpeed
2018-10-01 00:00:00,0.91,0.82,0.137,2.02
2018-10-02 00:00:00,0.31,0.71,0.0009,3.15
2018-10-03 00:00:00,0.41,0.75,0.0055,3.41
2018-10-04 00:00:00,0.88,0.79,0.1206,3.35
2018-10-05 00:00:00,0.93,0.81,0.5927,4.54
2018-10-06 00:00:00,0.94,0.83,0.0997,2.62
2018-10-07 00:00:00,0.77,0.81,0.1006,2.55
2018-10-08 00:00:00,0.81,0.86,0.423,2.53
2018-10-09 00:00:00,0.84,0.9,0.0491,1.84
2018-10-10 00:00:00,0.54,0.82,0.0419,2.68
2018-10-11 00:00:00,0.99,0.93,0.1832,2.86
2018-10-12 00:00:00,0.79,0.91,0.0917,3.33
2018-10-13 00:00:00,0.54,0.78,0.244,2.81
2018-10-14 00:00:00,0.94,0.88,0.152,3.79
2018-10-15 00:00:00,1,0.88,0.0586,2.76
2018-10-16 00:00:00,0.96,0.82,0.0408,3.43
2018-10-17 00:00:00,0.75,0.82,0.0771,2.9
2018-10-18 00:00:00,0.71,0.84,0.1173,2.04
2018-10-19 00:00:00,0.81,0.86,0.185,4.42
2018-10-20 00:00:00,0.51,0.65,0.0934,4.79
2018-10-21 00:00:00,0.57,0.7,0.007,3.33
2018-10-22 00:00:00,0.4,0.67,0.0021,3.36
2018-10-23 00:00:00,0.24,0.74,0.0007,3.13
2018-10-24 00:00:00,0.85,0.83,0.2367,3.27
2018-10-25 00:00:00,0.98,0.93,0.4866,2.31
2018-10-26 00:00:00,0.91,0.87,0.0123,2.82
2018-10-27 00:00:00,0.69,0.77,0.1821,3.31
2018-10-28 00:00:00,0.75,0.68,0.0502,5.33
2018-10-29 00:00:00,0.94,0.75,0.016,2.63
2018-10-30 00:00:00,0.5,0.73,0.001,3.19
2018-10-31 00:00:00,0.5,0.75,0.0022,3.08
2018-11-01 00:00:00,0.47,0.75,0.1248,3.09
2018-11-02 00:00:00,0.8,0.8,0.0238,3.36
2018-11-03 00:00:00,0.37,0.7,0.2724,2.93
2018-11-04 00:00:00,0.82,0.8,0.1036,5.28
2018-11-04 23:00:00,0.99,0.8,0.1181,3.56
2018-11-05 23:00:00,0.87,0.77,0.0062,3.81
2018-11-06 23:00:00,0.8,0.84,0.2855,3.88
2018-11-07 23:00:00,0.99,0.94,1.5853,3.22
2018-11-08 23:00:00,0.87,0.9,0.3118,3.24
2018-11-09 23:00:00,0.74,0.8,0.1574,2.9
2018-11-10 23:00:00,0.46,0.77,0.0683,2.83
2018-11-11 23:00:00,0.43,0.79,0.0278,3.46
2018-11-12 23:00:00,0.54,0.72,0.0086,3.33
