time,cloudCover,humidity,precipIntensity,windSpeed
2018-10-01 00:00:00,1,0.86,0.1275,1.7
2018-10-01 01:00:00,1,0.87,0.1302,2
2018-10-01 02:00:00,1,0.91,0.1402,1.68
2018-10-01 03:00:00,1,0.91,0.1659,1.7
2018-10-01 04:00:00,1,0.9,0.1467,2.35
2018-10-01 05:00:00,1,0.89,0.1106,3.02
2018-10-01 06:00:00,1,0.85,0.0737,1.82
2018-10-01 07:00:00,0.75,0.79,0.0361,1.45
2018-10-01 08:00:00,0.75,0.77,0.0104,1.35
2018-10-01 09:00:00,0.71,0.7,0,1.54
2018-10-01 10:00:00,0.75,0.67,0.0076,1.36
2018-10-01 11:00:00,0.75,0.66,0.0528,1.6
2018-10-01 12:00:00,0.75,0.67,0.1429,1.88
2018-10-01 13:00:00,0.75,0.64,0.2951,2.38
2018-10-01 14:00:00,0.92,0.72,0.5039,2.38
2018-10-01 15:00:00,1,0.8,0.5865,2.39
2018-10-01 16:00:00,1,0.84,0.3304,3.43
2018-10-01 17:00:00,1,0.88,0.0989,3.89
2018-10-01 18:00:00,1,0.9,0.075,1.8
2018-10-01 19:00:00,1,0.91,0.0711,1.75
2018-10-01 20:00:00,1,0.91,0.0611,2.74
2018-10-01 21:00:00,0.92,0.86,0.0692,1.48
2018-10-01 22:00:00,0.92,0.85,0.0396,1.31
2018-10-01 23:00:00,1,0.88,0.0103,1.57
2018-10-02 00:00:00,0.75,0.83,0,0.93
2018-10-02 01:00:00,0.75,0.88,0,2.49
2018-10-02 02:00:00,0.75,0.88,0,3.5
2018-10-02 03:00:00,0.75,0.87,0,2.08
2018-10-02 04:00:00,0.44,0.87,0,3.61
2018-10-02 05:00:00,0.44,0.89,0,2.62
2018-10-02 06:00:00,0.19,0.88,0,1.12
2018-10-02 07:00:00,0.09,0.83,0,2.55
2018-10-02 08:00:00,0.08,0.67,0,2.52
2018-10-02 09:00:00,0.08,0.56,0,2.66
2018-10-02 10:00:00,0.19,0.49,0,2.98
2018-10-02 11:00:00,0.19,0.46,0,2.47
2018-10-02 12:00:00,0.19,0.43,0,3.31
2018-10-02 13:00:00,0.42,0.49,0,5.82
2018-10-02 14:00:00,0.3,0.59,0,5.63
2018-10-02 15:00:00,0.19,0.56,0,5.64
2018-10-02 16:00:00,0.19,0.58,0,6.7
2018-10-02 17:00:00,0.19,0.62,0,4.99
2018-10-02 18:00:00,0.02,0.56,0,2.38
2018-10-02 19:00:00,0.02,0.81,0,3.23
2018-10-02 20:00:00,0.04,0.82,0,3.29
2018-10-02 21:00:00,0.14,0.86,0,1.53
2018-10-02 22:00:00,0.35,0.82,0,2.04
2018-10-02 23:00:00,0.62,0.8,0,1.4
2018-10-03 00:00:00,0.82,0.86,0,1.42
2018-10-03 01:00:00,0.19,0.91,0,2.55
2018-10-03 02:00:00,0.19,0.89,0,1.51
2018-10-03 03:00:00,0.19,0.89,0,2.1
2018-10-03 04:00:00,0.19,0.92,0,2.58
2018-10-03 05:00:00,0.19,0.86,0,2.05
2018-10-03 06:00:00,0.19,0.87,0,1.94
2018-10-03 07:00:00,0.19,0.85,0,1.49
2018-10-03 08:00:00,0.99,0.77,0,2.05
2018-10-03 09:00:00,0.95,0.72,0,2.73
2018-10-03 10:00:00,0.71,0.54,0,2.99
2018-10-03 11:00:00,0.38,0.53,0,2.42
2018-10-03 12:00:00,0.13,0.54,0,2.52
2018-10-03 13:00:00,0.19,0.51,0,3.25
