time,cloudCover,humidity,precipIntensity,windSpeed
2018-09-30 23:00:00,0.35,0.74,0.0797,10.48
2018-10-01 23:00:00,0.45,0.71,0.025,8.98
2018-10-02 23:00:00,0.11,0.73,0.0224,6.04
2018-10-03 23:00:00,0.1,0.7,0.0086,3.02
2018-10-04 23:00:00,0.39,0.7,0.0716,1.49
2018-10-05 23:00:00,0.22,0.71,0.0012,4.2
2018-10-06 23:00:00,0.79,0.75,0.1356,6.14
2018-10-07 23:00:00,0.86,0.69,0.0054,7.45
2018-10-08 23:00:00,0.5,0.68,0.002,8.37
2018-10-09 23:00:00,0.07,0.68,0.0043,8.37
2018-10-10 23:00:00,0.08,0.69,0.0071,5.64
2018-10-11 23:00:00,0.25,0.66,0.0013,2.26
2018-10-12 23:00:00,0.43,0.66,0.0007,2.42
2018-10-13 23:00:00,0.44,0.71,0.0143,7.38
2018-10-14 23:00:00,0.66,0.75,0.1274,9.76
2018-10-15 23:00:00,0.89,0.81,1.2879,9.09
2018-10-16 23:00:00,0.91,0.81,0.4259,7.02
2018-10-17 23:00:00,0.65,0.78,0.2408,5.11
2018-10-18 23:00:00,0.42,0.76,0.0247,5.12
2018-10-19 23:00:00,1,0.78,0.2421,10.36
2018-10-20 23:00:00,1,0.8,0.6984,7.67
2018-10-21 23:00:00,0.72,0.7,0.2208,5.05
2018-10-22 23:00:00,0.31,0.67,0.0068,4.56
2018-10-23 23:00:00,0.88,0.73,0.006,2.72
2018-10-24 23:00:00,0.77,0.75,0.0134,4.01
2018-10-25 23:00:00,0.85,0.79,0.0435,6.77
2018-10-26 23:00:00,0.98,0.78,0.018,6.1
2018-10-27 23:00:00,0.87,0.77,0.0119,7.91
2018-10-28 23:00:00,0.68,0.79,0.0054,7.19
2018-10-29 23:00:00,0.59,0.78,0.0013,4.47
2018-10-30 23:00:00,0.68,0.76,0.0012,4.19
2018-10-31 23:00:00,0.98,0.8,0.0608,4.99
2018-11-01 23:00:00,0.67,0.81,0.064,5.57
2018-11-02 23:00:00,0.45,0.83,0.078,5.07
2018-11-03 23:00:00,0.13,0.81,0.026,4.49
2018-11-04 23:00:00,0.79,0.78,0.0068,5.22
2018-11-05 23:00:00,1,0.75,0.0005,2.98
2018-11-06 23:00:00,0.91,0.75,0.0082,4.53
2018-11-07 23:00:00,0.01,0.74,0.0008,3.9
2018-11-08 23:00:00,0.44,0.76,0.0214,7
2018-11-09 23:00:00,0.79,0.7,0.001,7.99
2018-11-10 23:00:00,0.92,0.68,0.0042,5.79
2018-11-11 23:00:00,0.47,0.69,0.0057,4.73
2018-11-12 23:00:00,0.37,0.67,0.0065,5.09
2018-11-13 23:00:00,0.68,0.68,0.0006,5.14
2018-11-14 23:00:00,0.77,0.71,0,6.26
2018-11-15 23:00:00,0.99,0.74,0.0019,5.65
2018-11-16 23:00:00,0.8,0.77,0.0013,4.75
2018-11-17 23:00:00,0.65,0.8,0.0009,6.93
2018-11-18 23:00:00,0.09,0.78,0.0005,6.31
2018-11-19 23:00:00,0.57,0.74,0.0013,6.06
2018-11-20 23:00:00,0.65,0.72,0.0021,7.35
2018-11-21 23:00:00,0.8,0.72,0.0016,7.88
2018-11-22 23:00:00,0.89,0.72,0.0788,7.07
2018-11-23 23:00:00,0.55,0.74,0.0769,6.86
2018-11-24 23:00:00,0.99,0.74,0.045,9.11
2018-11-25 23:00:00,0.75,0.76,0.0432,8.92
2018-11-26 23:00:00,0.57,0.77,0.2389,9.33
2018-11-27 23:00:00,0.01,0.73,0.022,6.65
2018-11-28 23:00:00,0.1,0.72,0.011,4.04
2018-11-29 23:00:00,0.07,0.72,0.0212,4.2
2018-11-30 23:00:00,0.54,0.76,0.0587,6.12
2018-12-01 23:00:00,0.6,0.76,0.0214,7.72
2018-12-02 23:00:00,1,0.78,0.0229,8.54
2018-12-03 23:00:00,0.9,0.77,0.0263,6.73
2018-12-04 23:00:00,0.96,0.75,0.0031,4.93
2018-12-05 23:00:00,0.7,0.75,0.0035,4.7
2018-12-06 23:00:00,0.14,0.77,0.0091,5.16
2018-12-07 23:00:00,0.67,0.78,0.0346,6.2
2018-12-08 23:00:00,0.42,0.81,0.1147,5.62
2018-12-09 23:00:00,0.48,0.74,0.0052,7.62
2018-12-10 23:00:00,0.36,0.71,0.0144,7.19
2018-12-11 23:00:00,0.54,0.72,0.0214,6.02
2018-12-12 23:00:00,0.33,0.79,0.2027,6.37
2018-12-13 23:00:00,0.27,0.73,0.0195,5.45
2018-12-14 23:00:00,0.06,0.71,0.0003,3.17
2018-12-15 23:00:00,0.17,0.76,0.098,3.31
2018-12-16 23:00:00,0.36,0.74,0.0904,5.98
2018-12-17 23:00:00,0,0.68,0.0013,4.47
2018-12-18 23:00:00,0.13,0.69,0.0008,3.6
2018-12-19 23:00:00,0.06,0.71,0.0007,2.83
2018-12-20 23:00:00,0.02,0.71,0.0102,1.88
2018-12-21 23:00:00,0,0.7,0.001,1.18
2018-12-22 23:00:00,0,0.71,0.001,1.09
2018-12-23 23:00:00,0.02,0.7,0.0016,2.91
2018-12-24 23:00:00,0.07,0.7,0.009,3.82
2018-12-25 23:00:00,0.06,0.72,0.015,5.39
2018-12-26 23:00:00,0.49,0.73,0.0059,5.13
2018-12-27 23:00:00,0.6,0.74,0.0099,6.08
2018-12-28 23:00:00,0.79,0.77,0.023,6.65
2018-12-29 23:00:00,0.65,0.77,0.0384,4.94
2018-12-30 23:00:00,0.28,0.72,0.0077,4.12
2018-12-31 23:00:00,0.89,0.73,0.0011,3.53
2019-01-02 00:00:00,0.98,0.75,0.9178,3.2
2019-01-03 00:00:00,0.19,0.71,0.0006,2.61
2019-01-04 00:00:00,0.11,0.74,0.0753,2.99
2019-01-05 00:00:00,0.12,0.72,0.006,4.36
2019-01-06 00:00:00,0.14,0.73,0.0292,4.72
2019-01-07 00:00:00,0.02,0.73,0.0225,6.23
2019-01-08 00:00:00,0.09,0.74,0.0635,6.2
2019-01-09 00:00:00,0.27,0.73,0.07,5.37
2019-01-10 00:00:00,0.17,0.71,0.0014,3.76
2019-01-11 00:00:00,0.98,0.71,0.0038,2.22
2019-01-12 00:00:00,0.41,0.72,0.1348,2.03
2019-01-13 00:00:00,0.01,0.71,0.0005,1.91
2019-01-14 00:00:00,0.24,0.7,0.0018,1.96
2019-01-15 00:00:00,0.01,0.71,0.0032,2.93
2019-01-16 00:00:00,0.27,0.72,0.0685,5.01
2019-01-17 00:00:00,0.17,0.76,0.2046,5.49
2019-01-18 00:00:00,0.23,0.73,0.0114,4.23
2019-01-19 00:00:00,0.18,0.73,0.0233,4.02
2019-01-20 00:00:00,0.01,0.74,0.0263,6.23
2019-01-21 00:00:00,0.04,0.75,0.0711,8.01
2019-01-22 00:00:00,0.03,0.74,0.0396,7.45
2019-01-23 00:00:00,0.07,0.76,0.05,6.26
2019-01-24 00:00:00,0.02,0.77,0.0936,6.19
2019-01-25 00:00:00,0.03,0.75,0.071,6.05
2019-01-26 00:00:00,0.02,0.77,0.0639,6.56
2019-01-27 00:00:00,0.04,0.74,0.0241,7.25
2019-01-28 00:00:00,0.01,0.73,0.0219,6.06
2019-01-29 00:00:00,0.17,0.69,0.0009,3.27
2019-01-30 00:00:00,0.01,0.69,0.0063,1.96
2019-01-31 00:00:00,0.09,0.71,0.0139,2.81
2019-02-01 00:00:00,0.01,0.7,0.0124,2.25
2019-02-02 00:00:00,0,0.7,0.0353,1.48
2019-02-03 00:00:00,0.02,0.71,0.0212,2.78
2019-02-04 00:00:00,0.13,0.74,0.0899,5.86
2019-02-05 00:00:00,0.18,0.73,0.0139,5.95
2019-02-06 00:00:00,0.48,0.71,0.0122,4.84
2019-02-07 00:00:00,0.63,0.71,0.0334,2.65
2019-02-08 00:00:00,0.8,0.72,0.0611,2.88
2019-02-09 00:00:00,0.13,0.75,0.09,4.68
2019-02-10 00:00:00,0.05,0.75,0.1113,6.16
2019-02-11 00:00:00,0.02,0.75,0.019,7.52
2019-02-12 00:00:00,0.07,0.74,0.0016,6.16
2019-02-13 00:00:00,0.1,0.74,0.0212,5.39
2019-02-14 00:00:00,0.75,0.76,0.1971,5.86
2019-02-15 00:00:00,0.45,0.74,0.2925,4.03
2019-02-16 00:00:00,0.2,0.75,0.1629,7.45
2019-02-16 23:00:00,0.28,0.73,0.002,5.49
2019-02-17 23:00:00,0.8,0.73,0.0029,5.23
2019-02-18 23:00:00,0.71,0.81,0.8563,6.05
2019-02-19 23:00:00,0.83,0.79,0.839,4.95
2019-02-20 23:00:00,0.55,0.75,0.061,4.22
2019-02-21 23:00:00,0.32,0.76,0.0809,4.24
2019-02-22 23:00:00,0.26,0.75,0.0345,4.27
2019-02-23 23:00:00,0.55,0.72,0.0011,2.52
2019-02-24 23:00:00,0.16,0.73,0.3552,3.3
2019-02-25 23:00:00,0.02,0.75,0.036,5
2019-02-26 23:00:00,0.04,0.75,0.0157,5.46
2019-02-27 23:00:00,0.17,0.74,0.0239,4.89
2019-02-28 23:00:00,0.15,0.74,0.0179,5.41
2019-03-01 23:00:00,0.28,0.76,0.0399,6.6
2019-03-02 23:00:00,0.2,0.75,0.2593,7.08
2019-03-03 23:00:00,0.08,0.74,0.0863,4.33
2019-03-04 23:00:00,0,0.74,0.0453,5.61
2019-03-05 23:00:00,0.02,0.75,0.0017,6.85
2019-03-06 23:00:00,0.02,0.76,0.0765,6.99
2019-03-07 23:00:00,0.24,0.77,0.2021,8.54
2019-03-08 23:00:00,0.34,0.77,0.8013,8.08
2019-03-09 23:00:00,0.44,0.74,0.286,4.66
2019-03-10 23:00:00,0.09,0.74,0.5833,3.86
2019-03-11 23:00:00,0.41,0.74,0.4889,3.76
2019-03-12 23:00:00,0.27,0.73,0.0451,3.08
2019-03-13 23:00:00,0.16,0.74,0.0054,3.1
2019-03-14 23:00:00,0.62,0.75,0.5438,4.38
2019-03-15 23:00:00,0.88,0.76,1.1083,4.93
2019-03-16 23:00:00,0.85,0.79,0.4968,4.93
2019-03-17 23:00:00,0.56,0.77,0.2451,7.58
2019-03-18 23:00:00,0.96,0.75,0.0325,7.07
2019-03-19 23:00:00,0.6,0.66,0.0008,3.87
2019-03-20 23:00:00,0.06,0.65,0.0004,2.88
2019-03-21 23:00:00,0.08,0.8,0.8005,7.28
2019-03-22 23:00:00,0.64,0.79,0.1633,9.05
2019-03-23 23:00:00,0.85,0.75,0.0216,6.95
2019-03-24 23:00:00,0.35,0.72,0.0016,3.28
2019-03-25 23:00:00,0.59,0.76,0.1043,3.51
2019-03-26 23:00:00,0.17,0.74,0.1566,3.79
2019-03-27 23:00:00,0.22,0.71,0.0054,2.41
2019-03-28 23:00:00,0.68,0.75,0.1749,4.65
2019-03-29 23:00:00,0.97,0.77,0.8978,6.92
2019-03-30 23:00:00,1,0.74,0.8808,4.11
2019-03-31 23:00:00,1,0.78,0.7871,5.25
2019-04-01 23:00:00,0.97,0.77,0.5194,3.91
2019-04-02 23:00:00,0.59,0.73,0.0227,4.9
2019-04-03 23:00:00,0.09,0.73,0.0202,6.22
2019-04-04 23:00:00,0.01,0.73,0.0244,5.84
2019-04-05 23:00:00,0.02,0.74,0.0579,5.78
2019-04-06 23:00:00,0.19,0.75,0.1454,5.38
2019-04-07 23:00:00,0.31,0.74,0.0294,5.19
2019-04-08 23:00:00,0.26,0.74,0.0114,4.85
2019-04-09 23:00:00,0.18,0.75,0.2732,4.43
2019-04-10 23:00:00,0.3,0.74,0.0917,5.27
2019-04-11 23:00:00,0.26,0.73,0.0562,6.46
2019-04-12 23:00:00,0.05,0.74,0.0154,6.26
2019-04-13 23:00:00,0.02,0.77,0.232,5.25
2019-04-14 23:00:00,0.55,0.77,0.3285,5.07
2019-04-15 23:00:00,0.83,0.75,0.1995,4.65
2019-04-16 23:00:00,0.37,0.75,0.0259,3.2
2019-04-17 23:00:00,0.31,0.76,0.2097,5.48
2019-04-18 23:00:00,0.74,0.74,0.0256,6.69
2019-04-19 23:00:00,0.19,0.75,0.0783,5.14
2019-04-20 23:00:00,0.39,0.74,0.0172,5.69
2019-04-21 23:00:00,0.09,0.72,0.0018,4.7
2019-04-22 23:00:00,0.07,0.74,0.1314,4.55
2019-04-23 23:00:00,0.41,0.74,0.1277,4.24
