time,cloudCover,humidity,precipIntensity,windSpeed
2018-10-01 00:00:00,0.42,0.83,0.4693,10.25
2018-10-01 01:00:00,0.39,0.84,0.2852,10.21
2018-10-01 02:00:00,0.33,0.84,0.1132,9.9
2018-10-01 03:00:00,0.29,0.84,0.0544,9.52
2018-10-01 04:00:00,0.3,0.83,0.0396,9.55
2018-10-01 05:00:00,0.33,0.81,0.0288,9.69
2018-10-01 06:00:00,0.35,0.77,0.0177,9.81
2018-10-01 07:00:00,0.34,0.74,0.0075,9.89
2018-10-01 08:00:00,0.32,0.72,0,9.97
2018-10-01 09:00:00,0.3,0.67,0,9.52
2018-10-01 10:00:00,0.48,0.66,0,9.62
2018-10-01 11:00:00,0.72,0.66,0,9.83
2018-10-01 12:00:00,0.85,0.66,0,10.12
2018-10-01 13:00:00,0.78,0.66,0,10.62
2018-10-01 14:00:00,0.61,0.67,0,11.23
2018-10-01 15:00:00,0.44,0.68,0,11.34
2018-10-01 16:00:00,0.29,0.7,0.0141,11.42
2018-10-01 17:00:00,0.14,0.73,0.0574,11.39
2018-10-01 18:00:00,0.04,0.73,0.0932,11.39
2018-10-01 19:00:00,0,0.73,0.0748,11.54
2018-10-01 20:00:00,0.01,0.71,0.0518,11.7
2018-10-01 21:00:00,0.05,0.7,0.0533,11.56
2018-10-01 22:00:00,0.26,0.71,0.0446,11.43
2018-10-01 23:00:00,0.54,0.73,0.0272,11.22
2018-10-02 00:00:00,0.76,0.76,0.0186,10.96
2018-10-02 01:00:00,0.84,0.78,0.0174,10.6
2018-10-02 02:00:00,0.84,0.79,0.0186,10.19
2018-10-02 03:00:00,0.84,0.79,0.021,9.56
2018-10-02 04:00:00,0.87,0.79,0.0247,9.42
2018-10-02 05:00:00,0.89,0.78,0.0298,9.42
2018-10-02 06:00:00,0.89,0.75,0.0363,9.4
2018-10-02 07:00:00,0.89,0.72,0.0403,9.39
2018-10-02 08:00:00,0.86,0.7,0.0415,9.37
2018-10-02 09:00:00,0.77,0.68,0.0347,9.02
2018-10-02 10:00:00,0.59,0.66,0.0308,8.99
2018-10-02 11:00:00,0.36,0.66,0.0257,8.98
2018-10-02 12:00:00,0.19,0.66,0.0186,8.93
2018-10-02 13:00:00,0.12,0.66,0.0085,8.8
2018-10-02 14:00:00,0.11,0.67,0,8.6
2018-10-02 15:00:00,0.1,0.67,0,7.97
2018-10-02 16:00:00,0.07,0.68,0,7.88
2018-10-02 17:00:00,0.05,0.68,0.0163,7.88
2018-10-02 18:00:00,0.03,0.69,0.0362,7.88
2018-10-02 19:00:00,0.03,0.7,0.0458,7.87
2018-10-02 20:00:00,0.04,0.7,0.0473,7.85
2018-10-02 21:00:00,0.05,0.71,0.0389,7.78
2018-10-02 22:00:00,0.08,0.72,0.0185,7.61
2018-10-02 23:00:00,0.12,0.73,0,7.39
2018-10-03 00:00:00,0.16,0.76,0,7.21
2018-10-03 01:00:00,0.21,0.78,0,7.14
2018-10-03 02:00:00,0.27,0.79,0,7.12
2018-10-03 03:00:00,0.28,0.79,0,6.9
2018-10-03 04:00:00,0.28,0.79,0,6.76
2018-10-03 05:00:00,0.25,0.78,0,6.61
2018-10-03 06:00:00,0.22,0.76,0,6.5
2018-10-03 07:00:00,0.2,0.74,0.0066,6.5
2018-10-03 08:00:00,0.18,0.72,0.0382,6.54
2018-10-03 09:00:00,0.15,0.74,0.0725,6.29
2018-10-03 10:00:00,0.11,0.73,0.0838,5.98
2018-10-03 11:00:00,0.07,0.72,0.0885,5.57
2018-10-03 12:00:00,0.04,0.71,0.0815,5.27
2018-10-03 13:00:00,0.03,0.7,0.0417,5.18
2018-10-03 14:00:00,0.02,0.69,0.0065,5.19
2018-10-03 15:00:00,0.02,0.68,0,5.07
2018-10-03 16:00:00,0.02,0.68,0,5.21
2018-10-03 17:00:00,0.01,0.68,0.0096,5.45
2018-10-03 18:00:00,0.01,0.69,0.021,5.61
2018-10-03 19:00:00,0,0.7,0.0221,5.61
2018-10-03 20:00:00,0,0.71,0.0185,5.52
2018-10-03 21:00:00,0.01,0.72,0.0174,5.22
2018-10-03 22:00:00,0.09,0.74,0.0175,5.19
2018-10-03 23:00:00,0.2,0.75,0.0177,5.19
2018-10-04 00:00:00,0.28,0.78,0.0178,5.17
2018-10-04 01:00:00,0.28,0.79,0.0189,5.09
2018-10-04 02:00:00,0.24,0.79,0.0212,4.99
2018-10-04 03:00:00,0.19,0.79,0.0187,4.96
2018-10-04 04:00:00,0.13,0.79,0.0209,4.81
2018-10-04 05:00:00,0.06,0.77,0.022,4.61
2018-10-04 06:00:00,0.01,0.75,0.0196,4.31
2018-10-04 07:00:00,0,0.72,0.0083,3.84
2018-10-04 08:00:00,0,0.69,0,3.29
2018-10-04 09:00:00,0.01,0.67,0,3.2
2018-10-04 10:00:00,0.02,0.66,0,2.71
2018-10-04 11:00:00,0.04,0.65,0,2.19
2018-10-04 12:00:00,0.06,0.64,0,1.8
2018-10-04 13:00:00,0.08,0.64,0,1.66
2018-10-04 14:00:00,0.1,0.64,0,1.65
2018-10-04 15:00:00,0.15,0.63,0,1.62
2018-10-04 16:00:00,0.12,0.63,0,1.63
2018-10-04 17:00:00,0.07,0.63,0,1.66
2018-10-04 18:00:00,0.04,0.65,0,1.67
2018-10-04 19:00:00,0.03,0.66,0,1.67
2018-10-04 20:00:00,0.02,0.67,0,1.66
2018-10-04 21:00:00,0.06,0.69,0.0107,1.54
2018-10-04 22:00:00,0.17,0.71,0.0141,1.56
2018-10-04 23:00:00,0.31,0.72,0.0153,1.59
2018-10-05 00:00:00,0.4,0.75,0.0178,1.61
2018-10-05 01:00:00,0.41,0.78,0.0316,1.59
2018-10-05 02:00:00,0.37,0.78,0.0968,1.55
2018-10-05 03:00:00,0.34,0.79,0.1778,1.7
2018-10-05 04:00:00,0.35,0.79,0.2128,1.77
2018-10-05 05:00:00,0.36,0.78,0.2151,1.86
2018-10-05 06:00:00,0.39,0.76,0.2075,1.93
2018-10-05 07:00:00,0.47,0.74,0.2043,1.93
2018-10-05 08:00:00,0.57,0.71,0.1919,1.89
2018-10-05 09:00:00,0.61,0.67,0.1647,1.68
2018-10-05 10:00:00,0.72,0.66,0.0992,1.5
2018-10-05 11:00:00,0.84,0.66,0.0433,1.29
2018-10-05 12:00:00,0.88,0.65,0.0199,1.12
2018-10-05 13:00:00,0.8,0.65,0.0084,1.11
2018-10-05 14:00:00,0.65,0.64,0,1.16
2018-10-05 15:00:00,0.49,0.64,0,1.18
2018-10-05 16:00:00,0.32,0.63,0,1.14
2018-10-05 17:00:00,0.14,0.63,0,1.11
2018-10-05 18:00:00,0.01,0.64,0,1.14
2018-10-05 19:00:00,0,0.65,0,1.29
2018-10-05 20:00:00,0,0.66,0,1.53
2018-10-05 21:00:00,0,0.68,0,1.43
2018-10-05 22:00:00,0,0.7,0,1.63
2018-10-05 23:00:00,0,0.71,0,1.88
2018-10-06 00:00:00,0,0.74,0,2.16
2018-10-06 01:00:00,0,0.76,0,2.54
2018-10-06 02:00:00,0,0.77,0,2.96
2018-10-06 03:00:00,0,0.77,0,3.32
2018-10-06 04:00:00,0,0.76,0,3.63
2018-10-06 05:00:00,0.01,0.75,0,3.88
2018-10-06 06:00:00,0.01,0.73,0,4.14
2018-10-06 07:00:00,0.01,0.71,0,4.44
2018-10-06 08:00:00,0.01,0.69,0,4.75
2018-10-06 09:00:00,0.01,0.67,0,4.93
2018-10-06 10:00:00,0.01,0.65,0,4.94
2018-10-06 11:00:00,0,0.65,0,4.82
2018-10-06 12:00:00,0,0.65,0,4.76
2018-10-06 13:00:00,0,0.65,0,4.86
2018-10-06 14:00:00,0,0.65,0,5.01
2018-10-06 15:00:00,0,0.65,0,5.04
2018-10-06 16:00:00,0.27,0.66,0,4.84
2018-10-06 17:00:00,0.64,0.67,0,4.56
2018-10-06 18:00:00,0.9,0.69,0,4.39
2018-10-06 19:00:00,0.93,0.71,0,4.44
2018-10-06 20:00:00,0.86,0.72,0,4.61
2018-10-06 21:00:00,0.81,0.75,0,4.88
2018-10-06 22:00:00,0.8,0.77,0,5.11
2018-10-06 23:00:00,0.8,0.77,0,5.36
2018-10-07 00:00:00,0.79,0.8,0,5.52
2018-10-07 01:00:00,0.74,0.82,0.0105,5.55
2018-10-07 02:00:00,0.68,0.84,0.0592,5.49
2018-10-07 03:00:00,0.66,0.86,0.1394,5.41
2018-10-07 04:00:00,0.74,0.87,0.2529,5.28
2018-10-07 05:00:00,0.88,0.86,0.4067,5.21
2018-10-07 06:00:00,0.98,0.84,0.4943,5.41
2018-10-07 07:00:00,1,0.81,0.3983,5.94
2018-10-07 08:00:00,1,0.78,0.2346,6.54
2018-10-07 09:00:00,0.99,0.75,0.144,7.16
