time,cloudCover,humidity,precipIntensity,windSpeed
2018-09-30 23:00:00,0.35,0.74,0.0919,10.37
2018-10-01 23:00:00,0.45,0.71,0.0246,8.97
2018-10-02 23:00:00,0.12,0.73,0.0242,6.03
2018-10-03 23:00:00,0.11,0.7,0.0118,3.04
2018-10-04 23:00:00,0.43,0.7,0.077,1.51
2018-10-05 23:00:00,0.21,0.7,0.0013,4.13
2018-10-06 23:00:00,0.8,0.75,0.1382,6.13
2018-10-07 23:00:00,0.87,0.69,0.0054,7.47
2018-10-08 23:00:00,0.53,0.68,0.0021,8.39
2018-10-09 23:00:00,0.08,0.68,0.0043,8.39
2018-10-10 23:00:00,0.1,0.69,0.0074,5.65
2018-10-11 23:00:00,0.24,0.66,0.0013,2.27
2018-10-12 23:00:00,0.42,0.66,0.0007,2.44
2018-10-13 23:00:00,0.44,0.71,0.0128,7.34
2018-10-14 23:00:00,0.64,0.74,0.1117,9.73
2018-10-15 23:00:00,0.88,0.8,1.1997,9.08
2018-10-16 23:00:00,0.93,0.81,0.4466,6.85
2018-10-17 23:00:00,0.64,0.78,0.2313,5.03
2018-10-18 23:00:00,0.43,0.76,0.0243,5.12
2018-10-19 23:00:00,0.99,0.78,0.2209,10.34
2018-10-20 23:00:00,1,0.8,0.6735,7.79
2018-10-21 23:00:00,0.73,0.7,0.2451,5.07
2018-10-22 23:00:00,0.3,0.67,0.0058,4.6
2018-10-23 23:00:00,0.89,0.73,0.0101,2.78
2018-10-24 23:00:00,0.77,0.75,0.0151,3.93
2018-10-25 23:00:00,0.87,0.79,0.043,6.73
2018-10-26 23:00:00,0.97,0.78,0.0221,6.07
2018-10-27 23:00:00,0.87,0.77,0.0124,7.87
2018-10-28 23:00:00,0.68,0.79,0.0065,7.13
2018-10-29 23:00:00,0.58,0.78,0.0014,4.45
2018-10-30 23:00:00,0.66,0.76,0.0013,4.12
2018-10-31 23:00:00,0.98,0.8,0.0693,4.76
2018-11-01 23:00:00,0.67,0.8,0.0643,5.48
2018-11-02 23:00:00,0.46,0.83,0.0648,5.03
2018-11-03 23:00:00,0.13,0.81,0.0259,4.48
2018-11-04 23:00:00,0.79,0.78,0.0062,5.21
2018-11-05 23:00:00,1,0.75,0.0005,2.99
2018-11-06 23:00:00,0.91,0.75,0.0083,4.55
2018-11-07 23:00:00,0.01,0.74,0.0008,3.94
2018-11-08 23:00:00,0.43,0.76,0.0226,6.92
2018-11-09 23:00:00,0.79,0.7,0.0011,8.01
2018-11-10 23:00:00,0.9,0.68,0.0042,5.79
2018-11-11 23:00:00,0.49,0.69,0.0045,4.74
2018-11-12 23:00:00,0.39,0.68,0.0069,5.09
2018-11-13 23:00:00,0.64,0.68,0.0006,5.16
2018-11-14 23:00:00,0.76,0.71,0.0002,6.27
2018-11-15 23:00:00,0.99,0.74,0.0022,5.66
2018-11-16 23:00:00,0.83,0.77,0.0013,4.79
2018-11-17 23:00:00,0.66,0.8,0.0009,6.93
2018-11-18 23:00:00,0.08,0.78,0.0005,6.32
2018-11-19 23:00:00,0.58,0.74,0.0018,6.09
2018-11-20 23:00:00,0.67,0.72,0.0021,7.38
2018-11-21 23:00:00,0.8,0.72,0.0015,7.87
2018-11-22 23:00:00,0.89,0.72,0.0811,7.06
2018-11-23 23:00:00,0.52,0.74,0.0742,6.89
2018-11-24 23:00:00,0.99,0.74,0.0435,9.08
2018-11-25 23:00:00,0.74,0.76,0.0436,8.9
2018-11-26 23:00:00,0.54,0.77,0.2179,9.23
2018-11-27 23:00:00,0.01,0.73,0.0291,6.66
2018-11-28 23:00:00,0.11,0.72,0.0207,4.07
