time,cloudCover,humidity,precipIntensity,windSpeed
2018-10-01 00:00:00,1,0.9,0.1119,2.7
2018-10-01 01:00:00,1,0.89,0.1158,2.05
2018-10-01 02:00:00,1,0.92,0.1142,1.75
2018-10-01 03:00:00,1,0.9,0.1229,2.1
2018-10-01 04:00:00,1,0.89,0.1144,2.75
2018-10-01 05:00:00,1,0.9,0.1039,2.2
2018-10-01 06:00:00,1,0.89,0.0845,2.23
2018-10-01 07:00:00,0.75,0.81,0.0434,1.83
2018-10-01 08:00:00,0.75,0.81,0.0107,1.55
2018-10-01 09:00:00,0.75,0.73,0,1.16
2018-10-01 10:00:00,0.75,0.7,0.0091,1
2018-10-01 11:00:00,0.75,0.71,0.0675,1.11
2018-10-01 12:00:00,0.75,0.72,0.1829,1.81
2018-10-01 13:00:00,0.75,0.67,0.378,2.34
2018-10-01 14:00:00,1,0.77,0.6479,2.5
2018-10-01 15:00:00,1,0.84,0.7556,2.51
2018-10-01 16:00:00,1,0.87,0.418,3.79
2018-10-01 17:00:00,1,0.93,0.0897,4.38
2018-10-01 18:00:00,1,0.94,0.027,2.6
2018-10-01 19:00:00,1,0.94,0.0228,2.51
2018-10-01 20:00:00,1,0.93,0.0147,2.52
2018-10-01 21:00:00,1,0.88,0.019,1.53
2018-10-01 22:00:00,1,0.87,0.012,1.46
2018-10-01 23:00:00,1,0.92,0,1.18
2018-10-02 00:00:00,0.89,0.88,0,0.4
2018-10-02 01:00:00,0.75,0.94,0,1.83
2018-10-02 02:00:00,0.75,0.94,0,2.68
2018-10-02 03:00:00,0.75,0.95,0,1.52
2018-10-02 04:00:00,0.44,0.94,0,2.58
2018-10-02 05:00:00,0.44,0.93,0,1.58
2018-10-02 06:00:00,0.19,0.93,0,0.81
2018-10-02 07:00:00,0.07,0.88,0,1.82
2018-10-02 08:00:00,0.07,0.72,0,1.98
2018-10-02 09:00:00,0.07,0.59,0,2.52
2018-10-02 10:00:00,0.19,0.53,0,2.63
2018-10-02 11:00:00,0.19,0.52,0,2.44
2018-10-02 12:00:00,0.19,0.5,0,2.83
2018-10-02 13:00:00,0.44,0.59,0,6.25
2018-10-02 14:00:00,0.29,0.66,0,5.99
2018-10-02 15:00:00,0.19,0.63,0,6.02
2018-10-02 16:00:00,0.19,0.65,0,7.12
2018-10-02 17:00:00,0.19,0.66,0,5.29
2018-10-02 18:00:00,0.02,0.6,0,2.72
2018-10-02 19:00:00,0.01,0.86,0,3.64
2018-10-02 20:00:00,0.03,0.84,0,3.41
2018-10-02 21:00:00,0.13,0.88,0,1.59
2018-10-02 22:00:00,0.35,0.83,0,2.07
2018-10-02 23:00:00,0.65,0.8,0,1.27
2018-10-03 00:00:00,0.86,0.9,0,2.39
2018-10-03 01:00:00,0.88,0.94,0,1.13
2018-10-03 02:00:00,0.82,0.9,0,1.53
2018-10-03 03:00:00,0.78,0.92,0,2.11
2018-10-03 04:00:00,0.84,0.93,0,3.15
2018-10-03 05:00:00,0.93,0.9,0,2.88
2018-10-03 06:00:00,0.19,0.86,0,1.96
2018-10-03 07:00:00,0.19,0.87,0,1.38
2018-10-03 08:00:00,1,0.82,0,1.75
2018-10-03 09:00:00,0.98,0.78,0,2.57
2018-10-03 10:00:00,0.73,0.62,0,2.98
2018-10-03 11:00:00,0.38,0.58,0,2.43
2018-10-03 12:00:00,0.13,0.61,0,3.2
2018-10-03 13:00:00,0.19,0.53,0,3.4
2018-10-03 14:00:00,0.19,0.56,0,4.05
2018-10-03 15:00:00,0.19,0.64,0,6.21
2018-10-03 16:00:00,0.19,0.75,0,6.35
2018-10-03 17:00:00,0.19,0.76,0,6.01
2018-10-03 18:00:00,0.3,0.79,0,4.19
2018-10-03 19:00:00,0.44,0.86,0,6.25
2018-10-03 20:00:00,0.75,0.78,0,5.91
2018-10-03 21:00:00,0.59,0.78,0,6.96
2018-10-03 22:00:00,0.75,0.87,0,2.24
2018-10-03 23:00:00,0.75,0.86,0,3.67
2018-10-04 00:00:00,0.75,0.83,0,2.32
2018-10-04 01:00:00,0.75,0.88,0,2.59
2018-10-04 02:00:00,0.75,0.92,0,1.91
2018-10-04 03:00:00,0.89,0.91,0,4.54
2018-10-04 04:00:00,1,0.77,0,5.2
2018-10-04 05:00:00,1,0.84,0.0115,3.14
2018-10-04 06:00:00,0.99,0.88,0.0175,2.37
2018-10-04 07:00:00,1,0.81,0.0181,2.02
2018-10-04 08:00:00,1,0.79,0.0267,2.69
2018-10-04 09:00:00,1,0.78,0.0422,4.39
2018-10-04 10:00:00,0.87,0.73,0.0467,4.7
2018-10-04 11:00:00,0.86,0.74,0.0557,6.3
2018-10-04 12:00:00,0.86,0.75,0.0701,5.55
2018-10-04 13:00:00,1,0.76,0.0676,5.83
2018-10-04 14:00:00,0.75,0.76,0.0593,4.95
2018-10-04 15:00:00,0.75,0.67,0.0592,6.33
2018-10-04 16:00:00,0.87,0.77,0.0628,4.81
2018-10-04 17:00:00,0.85,0.77,0.0758,4.61
2018-10-04 18:00:00,0.85,0.79,0.1081,4.3
2018-10-04 19:00:00,1,0.82,0.1825,3.69
2018-10-04 20:00:00,1,0.8,0.3086,2.38
2018-10-04 21:00:00,0.87,0.81,0.4441,2.93
2018-10-04 22:00:00,0.75,0.81,0.665,1.91
2018-10-04 23:00:00,0.86,0.83,0.9471,3.01
2018-10-05 00:00:00,0.89,0.91,1.1768,4.93
2018-10-05 01:00:00,0.89,0.93,1.258,5.73
2018-10-05 02:00:00,0.89,0.95,1.2483,5.56
2018-10-05 03:00:00,0.89,0.94,1.2204,5.66
2018-10-05 04:00:00,0.89,0.95,1.2103,6.57
2018-10-05 05:00:00,0.89,0.94,1.1802,7.11
2018-10-05 06:00:00,1,0.94,1.1255,7.37
2018-10-05 07:00:00,1,0.9,1.0547,6.38
2018-10-05 08:00:00,1,0.95,0.9857,6.43
2018-10-05 09:00:00,1,0.89,0.8658,6.68
2018-10-05 10:00:00,1,0.87,0.7065,7.64
2018-10-05 11:00:00,1,0.8,0.5324,7.45
2018-10-05 12:00:00,1,0.68,0.414,7.83
2018-10-05 13:00:00,1,0.63,0.378,7.13
2018-10-05 14:00:00,1,0.64,0.3701,6.69
2018-10-05 15:00:00,1,0.62,0.3227,5.72
2018-10-05 16:00:00,1,0.64,0.2206,5.31
2018-10-05 17:00:00,1,0.65,0.1288,4.93
2018-10-05 18:00:00,1,0.63,0.0803,3.94
2018-10-05 19:00:00,1,0.66,0.044,3.33
2018-10-05 20:00:00,1,0.69,0.0251,2.88
2018-10-05 21:00:00,1,0.68,0.0195,2.67
2018-10-05 22:00:00,1,0.8,0.0099,1.85
2018-10-05 23:00:00,1,0.79,0,1.77
2018-10-06 00:00:00,1,0.75,0,2.26
2018-10-06 01:00:00,1,0.78,0,2.24
2018-10-06 02:00:00,0.86,0.8,0,2
2018-10-06 03:00:00,0.86,0.8,0,1.99
2018-10-06 04:00:00,0.86,0.84,0.0054,1.22
2018-10-06 05:00:00,0.86,0.85,0.0095,2.05
2018-10-06 06:00:00,0.86,0.84,0.0117,1.48
2018-10-06 07:00:00,0.75,0.83,0.0085,1.09
2018-10-06 08:00:00,0.75,0.81,0.0055,1.36
2018-10-06 09:00:00,0.75,0.76,0,1.7
2018-10-06 10:00:00,0.75,0.71,0,2.62
2018-10-06 11:00:00,0.75,0.68,0,2.23
2018-10-06 12:00:00,1,0.72,0.0114,4.16
2018-10-06 13:00:00,1,0.78,0.0736,4.04
2018-10-06 14:00:00,1,0.78,0.2771,4.12
2018-10-06 15:00:00,0.88,0.78,0.4871,4.24
2018-10-06 16:00:00,0.88,0.82,0.5187,4.8
2018-10-06 17:00:00,0.88,0.83,0.4462,4.92
2018-10-06 18:00:00,1,0.95,0.3574,6.25
2018-10-06 19:00:00,1,0.92,0.2578,4.47
2018-10-06 20:00:00,1,0.94,0.1603,5.33
2018-10-06 21:00:00,1,1,0.0968,5.31
2018-10-06 22:00:00,1,0.96,0.0419,3.92
2018-10-06 23:00:00,0.89,0.93,0.0072,5.28
2018-10-07 00:00:00,0.89,0.9,0,3.59
2018-10-07 01:00:00,0.75,0.89,0,4.31
2018-10-07 02:00:00,0.75,0.89,0,4.45
2018-10-07 03:00:00,0.75,0.88,0,4.91
2018-10-07 04:00:00,0.75,0.83,0,4.38
2018-10-07 05:00:00,0.75,0.86,0,5.05
2018-10-07 06:00:00,0.75,0.89,0,4.79
2018-10-07 07:00:00,0.75,0.87,0,1.19
2018-10-07 08:00:00,0.75,0.78,0,3.03
2018-10-07 09:00:00,0.75,0.75,0,3.26
2018-10-07 10:00:00,0.75,0.69,0.0081,3.26
2018-10-07 11:00:00,0.75,0.66,0.0363,3.43
2018-10-07 12:00:00,0.75,0.68,0.065,3.71
2018-10-07 13:00:00,0.75,0.66,0.0588,4.24
2018-10-07 14:00:00,0.75,0.7,0.0372,4.97
2018-10-07 15:00:00,0.75,0.75,0.0216,5.66
2018-10-07 16:00:00,0.75,0.79,0.0181,5.22
2018-10-07 17:00:00,0.75,0.78,0.0236,5.08
2018-10-07 18:00:00,0.75,0.86,0.0507,2.34
2018-10-07 19:00:00,1,0.91,0.17,2.29
2018-10-07 20:00:00,1,0.88,0.454,2.81
2018-10-07 21:00:00,0.75,0.92,0.6547,2.76
2018-10-07 22:00:00,0.75,0.87,0.605,2.63
2018-10-07 23:00:00,0.75,0.91,0.4312,4.16
2018-10-08 00:00:00,0.75,0.91,0.2933,3.06
2018-10-08 01:00:00,0.75,0.9,0.1994,2.08
2018-10-08 02:00:00,0.75,0.93,0.1171,1.89
2018-10-08 03:00:00,0.75,0.88,0.06,2.42
2018-10-08 04:00:00,0.75,0.87,0.0229,1.41
2018-10-08 05:00:00,0.75,0.89,0,3.82
2018-10-08 06:00:00,0.75,0.83,0,2.23
2018-10-08 07:00:00,0.75,0.86,0,2.29
2018-10-08 08:00:00,0.01,0.88,0.0108,1.72
2018-10-08 09:00:00,0.75,0.87,0.0165,1.34
2018-10-08 10:00:00,0.75,0.79,0.0096,1.58
2018-10-08 11:00:00,0.58,0.8,0,2.35
2018-10-08 12:00:00,0.75,0.79,0,2.59
2018-10-08 13:00:00,0.75,0.77,0.0155,2.64
2018-10-08 14:00:00,0.88,0.78,0.0616,4.7
2018-10-08 15:00:00,1,0.82,0.096,6.02
2018-10-08 16:00:00,1,0.87,0.1271,5.83
