time,cloudCover,humidity,precipIntensity,windSpeed
2018-09-30 23:00:00,0.34,0.74,0.1111,10.19
2018-10-01 23:00:00,0.45,0.71,0.0245,8.94
2018-10-02 23:00:00,0.13,0.73,0.0265,6.02
2018-10-03 23:00:00,0.12,0.7,0.015,3.06
2018-10-04 23:00:00,0.49,0.7,0.0857,1.55
2018-10-05 23:00:00,0.19,0.7,0.0017,4.01
2018-10-06 23:00:00,0.81,0.75,0.1412,6.12
2018-10-07 23:00:00,0.89,0.69,0.0054,7.51
2018-10-08 23:00:00,0.57,0.68,0.0023,8.44
2018-10-09 23:00:00,0.09,0.68,0.0044,8.41
2018-10-10 23:00:00,0.13,0.69,0.0077,5.66
2018-10-11 23:00:00,0.23,0.66,0.0013,2.29
2018-10-12 23:00:00,0.42,0.66,0.0007,2.48
2018-10-13 23:00:00,0.44,0.71,0.0103,7.28
2018-10-14 23:00:00,0.62,0.74,0.0849,9.68
2018-10-15 23:00:00,0.85,0.8,1.0614,9.05
2018-10-16 23:00:00,0.95,0.81,0.4809,6.58
2018-10-17 23:00:00,0.64,0.79,0.2176,4.91
2018-10-18 23:00:00,0.44,0.75,0.023,5.13
2018-10-19 23:00:00,0.97,0.78,0.188,10.3
2018-10-20 23:00:00,1,0.8,0.6443,7.95
2018-10-21 23:00:00,0.74,0.7,0.2944,5.1
2018-10-22 23:00:00,0.31,0.67,0.0041,4.67
2018-10-23 23:00:00,0.9,0.73,0.0192,2.89
2018-10-24 23:00:00,0.76,0.75,0.0189,3.81
2018-10-25 23:00:00,0.88,0.79,0.0425,6.65
2018-10-26 23:00:00,0.96,0.78,0.0298,6.01
2018-10-27 23:00:00,0.86,0.77,0.0134,7.81
2018-10-28 23:00:00,0.69,0.79,0.0082,7.02
2018-10-29 23:00:00,0.56,0.78,0.0015,4.4
2018-10-30 23:00:00,0.63,0.76,0.0013,4.02
2018-10-31 23:00:00,0.98,0.8,0.0801,4.38
2018-11-01 23:00:00,0.65,0.8,0.0648,5.34
2018-11-02 23:00:00,0.46,0.82,0.0463,4.95
2018-11-03 23:00:00,0.13,0.81,0.0251,4.48
2018-11-04 23:00:00,0.78,0.77,0.0052,5.19
2018-11-05 23:00:00,0.99,0.75,0.0009,3
2018-11-06 23:00:00,0.93,0.75,0.0085,4.6
2018-11-07 23:00:00,0.02,0.74,0.0008,4.01
2018-11-08 23:00:00,0.42,0.76,0.0239,6.8
2018-11-09 23:00:00,0.8,0.7,0.0013,8.05
2018-11-10 23:00:00,0.88,0.68,0.0043,5.78
2018-11-11 23:00:00,0.51,0.69,0.0029,4.77
2018-11-12 23:00:00,0.43,0.68,0.0073,5.1
2018-11-13 23:00:00,0.57,0.68,0.0006,5.19
2018-11-14 23:00:00,0.76,0.71,0.0003,6.27
2018-11-15 23:00:00,0.98,0.74,0.0027,5.68
2018-11-16 23:00:00,0.88,0.77,0.0013,4.85
2018-11-17 23:00:00,0.68,0.8,0.0009,6.93
2018-11-18 23:00:00,0.07,0.78,0.0005,6.35
2018-11-19 23:00:00,0.6,0.74,0.0027,6.13
2018-11-20 23:00:00,0.7,0.72,0.002,7.42
2018-11-21 23:00:00,0.82,0.72,0.0015,7.87
2018-11-22 23:00:00,0.9,0.72,0.0842,7.06
2018-11-23 23:00:00,0.47,0.74,0.0677,6.92
2018-11-24 23:00:00,0.99,0.74,0.0415,9.04
2018-11-25 23:00:00,0.72,0.75,0.0437,8.86
2018-11-26 23:00:00,0.48,0.77,0.1864,9.07
2018-11-27 23:00:00,0.01,0.73,0.0391,6.69
2018-11-28 23:00:00,0.12,0.72,0.0321,4.12
2018-11-29 23:00:00,0.06,0.72,0.0243,4.28
2018-11-30 23:00:00,0.56,0.76,0.054,6.14
2018-12-01 23:00:00,0.59,0.76,0.0236,7.66
2018-12-02 23:00:00,1,0.78,0.0207,8.37
2018-12-03 23:00:00,0.87,0.77,0.0162,6.56
2018-12-04 23:00:00,0.97,0.75,0.0038,4.84
2018-12-05 23:00:00,0.67,0.75,0.0055,4.59
2018-12-06 23:00:00,0.16,0.77,0.0093,4.99
2018-12-07 23:00:00,0.64,0.78,0.0328,6.1
2018-12-08 23:00:00,0.44,0.81,0.0785,5.52
2018-12-09 23:00:00,0.55,0.74,0.0107,7.67
2018-12-10 23:00:00,0.38,0.71,0.0138,7.22
2018-12-11 23:00:00,0.52,0.72,0.0194,6.07
2018-12-12 23:00:00,0.36,0.79,0.193,6.38
2018-12-13 23:00:00,0.23,0.72,0.0108,5.34
2018-12-14 23:00:00,0.07,0.71,0.0003,2.98
2018-12-15 23:00:00,0.22,0.76,0.1022,2.98
2018-12-16 23:00:00,0.36,0.75,0.1083,5.94
2018-12-17 23:00:00,0,0.68,0.0013,4.56
2018-12-18 23:00:00,0.1,0.69,0.0008,3.63
2018-12-19 23:00:00,0.07,0.71,0.0029,2.9
2018-12-20 23:00:00,0.02,0.72,0.0113,1.92
2018-12-21 23:00:00,0,0.7,0.001,1.18
2018-12-22 23:00:00,0,0.71,0.001,1.13
2018-12-23 23:00:00,0.04,0.7,0.0016,2.84
2018-12-24 23:00:00,0.09,0.7,0.009,3.95
2018-12-25 23:00:00,0.07,0.72,0.014,5.42
2018-12-26 23:00:00,0.48,0.73,0.007,5.12
2018-12-27 23:00:00,0.63,0.74,0.0111,6.14
2018-12-28 23:00:00,0.8,0.77,0.024,6.7
2018-12-29 23:00:00,0.58,0.77,0.0351,4.96
2018-12-30 23:00:00,0.24,0.72,0.0053,3.96
2018-12-31 23:00:00,0.82,0.72,0.001,3.42
2019-01-02 00:00:00,0.99,0.76,0.8036,3.26
2019-01-03 00:00:00,0.19,0.71,0.0006,2.74
2019-01-04 00:00:00,0.13,0.75,0.1152,3.18
2019-01-05 00:00:00,0.13,0.72,0.008,4.37
2019-01-06 00:00:00,0.13,0.73,0.0348,4.83
2019-01-07 00:00:00,0.03,0.73,0.0319,6.28
2019-01-08 00:00:00,0.11,0.74,0.0579,6.06
2019-01-09 00:00:00,0.28,0.73,0.0793,5.46
2019-01-10 00:00:00,0.18,0.71,0.0014,3.93
2019-01-11 00:00:00,0.97,0.71,0.002,2.34
2019-01-12 00:00:00,0.41,0.72,0.0541,2.02
2019-01-13 00:00:00,0.01,0.71,0.0006,1.79
2019-01-14 00:00:00,0.3,0.7,0.0021,2.1
2019-01-15 00:00:00,0.01,0.71,0.0036,3.01
2019-01-16 00:00:00,0.25,0.72,0.1065,4.98
2019-01-17 00:00:00,0.11,0.76,0.1606,5.34
2019-01-18 00:00:00,0.16,0.73,0.0199,4.26
2019-01-19 00:00:00,0.13,0.73,0.0295,4.12
2019-01-20 00:00:00,0.02,0.74,0.051,6.3
2019-01-21 00:00:00,0.07,0.75,0.0885,8.02
2019-01-22 00:00:00,0.06,0.75,0.0518,7.46
2019-01-23 00:00:00,0.03,0.76,0.0586,6.29
2019-01-24 00:00:00,0.03,0.77,0.14,6.13
2019-01-25 00:00:00,0.04,0.75,0.1109,6.09
2019-01-26 00:00:00,0.04,0.77,0.0738,6.63
2019-01-27 00:00:00,0.06,0.74,0.0279,7.25
2019-01-28 00:00:00,0.02,0.74,0.034,6.16
2019-01-29 00:00:00,0.12,0.69,0.0009,3.42
2019-01-30 00:00:00,0.02,0.69,0.0027,2.21
2019-01-31 00:00:00,0.07,0.71,0.015,2.96
2019-02-01 00:00:00,0,0.71,0.0069,2.34
2019-02-02 00:00:00,0,0.7,0.0201,1.62
2019-02-03 00:00:00,0.03,0.71,0.0395,2.86
2019-02-04 00:00:00,0.11,0.74,0.0465,5.82
2019-02-05 00:00:00,0.19,0.73,0.0155,5.74
2019-02-06 00:00:00,0.48,0.71,0.0127,4.65
2019-02-07 00:00:00,0.58,0.7,0.0178,2.6
2019-02-08 00:00:00,0.76,0.72,0.0308,3.08
2019-02-09 00:00:00,0.14,0.75,0.1159,4.73
2019-02-10 00:00:00,0.05,0.76,0.1121,6.07
2019-02-11 00:00:00,0.03,0.75,0.0341,7.5
2019-02-12 00:00:00,0.07,0.74,0.0068,6.12
2019-02-13 00:00:00,0.15,0.74,0.021,5.24
2019-02-14 00:00:00,0.73,0.76,0.1232,5.99
2019-02-15 00:00:00,0.43,0.74,0.3303,4.6
2019-02-16 00:00:00,0.18,0.74,0.0777,7.4
2019-02-16 23:00:00,0.3,0.73,0.0019,5.32
2019-02-17 23:00:00,0.79,0.72,0.0017,5.01
2019-02-18 23:00:00,0.71,0.8,0.8277,6.08
2019-02-19 23:00:00,0.85,0.8,1.0973,5.39
2019-02-20 23:00:00,0.51,0.77,0.193,4.58
2019-02-21 23:00:00,0.29,0.76,0.1756,4.11
2019-02-22 23:00:00,0.19,0.76,0.0514,4.35
2019-02-23 23:00:00,0.5,0.73,0.0011,2.63
2019-02-24 23:00:00,0.13,0.73,0.3136,3.22
2019-02-25 23:00:00,0.02,0.75,0.0246,4.97
2019-02-26 23:00:00,0.05,0.75,0.018,5.51
2019-02-27 23:00:00,0.17,0.74,0.019,4.97
2019-02-28 23:00:00,0.19,0.74,0.0215,5.5
2019-03-01 23:00:00,0.29,0.76,0.0399,6.58
2019-03-02 23:00:00,0.21,0.75,0.3762,7.07
2019-03-03 23:00:00,0.09,0.74,0.1432,4.37
2019-03-04 23:00:00,0,0.74,0.0704,5.72
2019-03-05 23:00:00,0.02,0.75,0.0079,6.88
